family_id,expansion_level,title,abstract,text,label
49768336,SEED,Roadside object detection apparatus,"A roadside object detection apparatus to detect a roadside object by analyzing images, detecting height information of an object in the images in a neighboring region having a distance less than or equal to a threshold from a vehicle, detecting a change of a height of a road surface due to the roadside object from the height information in the neighboring region, determining positions having the change of the height detected as characteristic points of the roadside object, extrapolating the characteristic points into a far-off region having a distance greater than or equal to the threshold from the vehicle, based on a road model, setting a search range for the roadside object in the far-off region based on a virtual line that is obtained by the characteristic points being extrapolated by the characteristic point extrapolation unit, and detecting the roadside object in the far-off region based on the search range.","Roadside object detection apparatus A roadside object detection apparatus to detect a roadside object by analyzing images, detecting height information of an object in the images in a neighboring region having a distance less than or equal to a threshold from a vehicle, detecting a change of a height of a road surface due to the roadside object from the height information in the neighboring region, determining positions having the change of the height detected as characteristic points of the roadside object, extrapolating the characteristic points into a far-off region having a distance greater than or equal to the threshold from the vehicle, based on a road model, setting a search range for the roadside object in the far-off region based on a virtual line that is obtained by the characteristic points being extrapolated by the characteristic point extrapolation unit, and detecting the roadside object in the far-off region based on the search range.",1
15950484,ANTISEED-AF,Payoff reel control method,"(57) [Abstract] An object of the present invention is to provide a pay-off reel that minimizes the occurrence of coil scratches by controlling the torque of the air brake and properly controlling the tension of the coil between the pay-off reel and the processor. The purpose is to provide a control method. [Structure] The coil winding diameter on a pay-off reel is sequentially measured, and the measured value that changes momentarily is converted into a current and input to a computing device. Based on the input value and the width and plate thickness of the coil that have been input in advance. The coil tension is calculated, the appropriate set pressure of the payoff reel air brake is sequentially calculated, and the signal based on this set value is output to the regulator to adjust the braking of the air brake. It is characterized by controlling so as to be appropriate.","Payoff reel control method (57) [Abstract] An object of the present invention is to provide a pay-off reel that minimizes the occurrence of coil scratches by controlling the torque of the air brake and properly controlling the tension of the coil between the pay-off reel and the processor. The purpose is to provide a control method. [Structure] The coil winding diameter on a pay-off reel is sequentially measured, and the measured value that changes momentarily is converted into a current and input to a computing device. Based on the input value and the width and plate thickness of the coil that have been input in advance. The coil tension is calculated, the appropriate set pressure of the payoff reel air brake is sequentially calculated, and the signal based on this set value is output to the regulator to adjust the braking of the air brake. It is characterized by controlling so as to be appropriate.",0
42977118,SEED,"Device and method for recognition of traffic sign, and computer program","A traffic sign recognition accuracy is improved.   A traffic sign recognition device (200) acquires a plurality of photographed images taken while traveling on a road, analyzes a first photographed image, recognizes a traffic sign candidate region, and In the captured image, an outer peripheral region is set along the outline of the traffic sign candidate region, and the first captured image is compared with the second captured image captured at a different time from the first captured image. The motion vector of the traffic sign candidate region between the first photographed image and the second photographed image is obtained, the motion vector of the outer peripheral region between the first photographed image and the second photographed image is obtained, and the traffic Based on the difference between the motion vector of the sign candidate region and the motion vector of the outer peripheral region, it is determined whether the traffic sign candidate region is a traffic sign region whose subject is the traffic sign to be recognized.   [Selection] Figure 6","Device and method for recognition of traffic sign, and computer program A traffic sign recognition accuracy is improved. A traffic sign recognition device (200) acquires a plurality of photographed images taken while traveling on a road, analyzes a first photographed image, recognizes a traffic sign candidate region, and In the captured image, an outer peripheral region is set along the outline of the traffic sign candidate region, and the first captured image is compared with the second captured image captured at a different time from the first captured image. The motion vector of the traffic sign candidate region between the first photographed image and the second photographed image is obtained, the motion vector of the outer peripheral region between the first photographed image and the second photographed image is obtained, and the traffic Based on the difference between the motion vector of the sign candidate region and the motion vector of the outer peripheral region, it is determined whether the traffic sign candidate region is a traffic sign region whose subject is the traffic sign to be recognized. [Selection] Figure 6",1
52110439,SEED,Vehicle parking assist system,"A parking assist system of a vehicle includes a sensor, a control and a display. The sensor is disposed at a vehicle and is operable to, at least in part, determine the current geographical location of the vehicle. The control is responsive to an output of the sensor and at least one of (i) a database and (ii) a communication from a remote server. Responsive at least in part to historic parking location data representative of geographical locations of parking spaces where the equipped vehicle has previously been parked, the control is operable to display at the display parking information pertaining to parking spaces at or near the current geographical location of the equipped vehicle.","Vehicle parking assist system A parking assist system of a vehicle includes a sensor, a control and a display. The sensor is disposed at a vehicle and is operable to, at least in part, determine the current geographical location of the vehicle. The control is responsive to an output of the sensor and at least one of (i) a database and (ii) a communication from a remote server. Responsive at least in part to historic parking location data representative of geographical locations of parking spaces where the equipped vehicle has previously been parked, the control is operable to display at the display parking information pertaining to parking spaces at or near the current geographical location of the equipped vehicle.",1
56163306,SEED,Collision avoidance support device,"A collision avoidance support device capable of performing optimal collision avoidance support according to the state of a stationary object is provided. A type determination unit determines a type of a stationary object detected by a stationary object detection unit. When it is determined that the stationary object is the other vehicle 72, the determination condition relaxation unit 44 expands the margin area MA used when determining the necessity of collision avoidance support. When the margin area MA is enlarged, the probability that the host vehicle 70 interferes with the margin area MA increases. That is, the collision avoidance determination unit 46 can easily determine that collision avoidance support is necessary. [Selection] Figure 1","Collision avoidance support device A collision avoidance support device capable of performing optimal collision avoidance support according to the state of a stationary object is provided. A type determination unit determines a type of a stationary object detected by a stationary object detection unit. When it is determined that the stationary object is the other vehicle 72, the determination condition relaxation unit 44 expands the margin area MA used when determining the necessity of collision avoidance support. When the margin area MA is enlarged, the probability that the host vehicle 70 interferes with the margin area MA increases. That is, the collision avoidance determination unit 46 can easily determine that collision avoidance support is necessary. [Selection] Figure 1",1
53270349,SEED,Systems and methods for determining a robotic status of a driving vehicle,"A system for assisting driving includes a robotic status component and a maneuver selection component. The robotic status component is configured to determine, within a first vehicle, robotic status information pertaining to a proximate second vehicle. The second vehicle includes a vehicle controlled independently of the first vehicle. The maneuver selection component is configured to select at least one driving maneuver based on the robotic status information using an automatic driving system of the first vehicle.","Systems and methods for determining a robotic status of a driving vehicle A system for assisting driving includes a robotic status component and a maneuver selection component. The robotic status component is configured to determine, within a first vehicle, robotic status information pertaining to a proximate second vehicle. The second vehicle includes a vehicle controlled independently of the first vehicle. The maneuver selection component is configured to select at least one driving maneuver based on the robotic status information using an automatic driving system of the first vehicle.",1
56896754,SEED,System and method for driving assistance along a path,"Various aspects of a system and method for driving assistance along a path are disclosed herein. In accordance with an embodiment, a unique identifier is received from a communication device at an electronic control unit (ECU) of a first vehicle. The unique identifier is received when the first vehicle has reached a first location along a first portion of the path. A communication channel is established between the first vehicle and the communication device based on the received unique identifier. Data associated with a second portion of the path is received by the ECU from the communication device based on the established communication channel. Alert information associated with the second portion of the path is generated by the ECU based on the received data.","System and method for driving assistance along a path Various aspects of a system and method for driving assistance along a path are disclosed herein. In accordance with an embodiment, a unique identifier is received from a communication device at an electronic control unit (ECU) of a first vehicle. The unique identifier is received when the first vehicle has reached a first location along a first portion of the path. A communication channel is established between the first vehicle and the communication device based on the received unique identifier. Data associated with a second portion of the path is received by the ECU from the communication device based on the established communication channel. Alert information associated with the second portion of the path is generated by the ECU based on the received data.",1
21877946,ANTISEED-AF,Foldable etagere,"A collapsible etagere which, when erected, is constituted by a tier of open shelves. The frame of the etagere comprises a pair of spaced vertical poles which are bridged by a series of structural rectangles whose ends are attached to the poles, the rectangles in the series being equispaced from each other and from the upper and lower extremities of the poles to define shelf areas which are occupied by two rows of rectangular wings. The wings in each row are hingedly connected at points displaced from their inner ends to a respective pole whereby the wings may be partially outstretched from the poles to support removable shelves, or folded inwardly to collapse the structure.","Foldable etagere A collapsible etagere which, when erected, is constituted by a tier of open shelves. The frame of the etagere comprises a pair of spaced vertical poles which are bridged by a series of structural rectangles whose ends are attached to the poles, the rectangles in the series being equispaced from each other and from the upper and lower extremities of the poles to define shelf areas which are occupied by two rows of rectangular wings. The wings in each row are hingedly connected at points displaced from their inner ends to a respective pole whereby the wings may be partially outstretched from the poles to support removable shelves, or folded inwardly to collapse the structure.",0
71128910,SEED,Vehicle-mounted server and autonomous vehicle,"Disclosed are a vehicle-mounted server and an autonomous vehicle, relating to the technical field of autonomous driving. The vehicle-mounted server comprises a machine box, wherein the machine box comprises a bottom plate extending in the horizontal direction; and a first circuit board arranged above the bottom plate and extending in the horizontal direction, wherein the first circuit board is provided with a first end face facing upwards and a second end face facing downwards, and an electronic component is arranged on the first end face; and a plurality of supporting pieces with elasticity are arranged between the second end face of the first circuit board and the bottom plate, and the supporting pieces respectively abut against the second end face of the first circuit board and the bottom plate. The present application can effectively reduce the possibility that a circuit board inside a machine body or an electronic component arranged on the circuit board is damaged.","Vehicle-mounted server and autonomous vehicle Disclosed are a vehicle-mounted server and an autonomous vehicle, relating to the technical field of autonomous driving. The vehicle-mounted server comprises a machine box, wherein the machine box comprises a bottom plate extending in the horizontal direction; and a first circuit board arranged above the bottom plate and extending in the horizontal direction, wherein the first circuit board is provided with a first end face facing upwards and a second end face facing downwards, and an electronic component is arranged on the first end face; and a plurality of supporting pieces with elasticity are arranged between the second end face of the first circuit board and the bottom plate, and the supporting pieces respectively abut against the second end face of the first circuit board and the bottom plate. The present application can effectively reduce the possibility that a circuit board inside a machine body or an electronic component arranged on the circuit board is damaged.",1
58006247,SEED,Automatic driving vehicle and automatic driving system with the same,"The present invention provides a self-driving automatically driven vehicle capable of identifying a current position with high accuracy. The automatically driven vehicle can be automatically driven on a default driving path based on a speed controlled by set points arranged on the default driving path. The automatically driven vehicle comprises: a set point detection portion, for detecting passed-by set points; a memory portion, for establishing a correlation between set point position information related to the position of each set point and set point identification information used for identifying each set point, and storing the same; a set point specifying portion, for specifying a passed-by set point detected by the set point detection portion based on the set point identification information; a driving distance calculation portion, for calculating a driving distance between the set point specified by the set point specifying portion and a current position; and a current position specifying portion, for specifying the current position based on the position of the set point detected by the set point position information and the driving distance between the set point and the current position calculated by the driving distance calculation portion.","Automatic driving vehicle and automatic driving system with the same The present invention provides a self-driving automatically driven vehicle capable of identifying a current position with high accuracy. The automatically driven vehicle can be automatically driven on a default driving path based on a speed controlled by set points arranged on the default driving path. The automatically driven vehicle comprises: a set point detection portion, for detecting passed-by set points; a memory portion, for establishing a correlation between set point position information related to the position of each set point and set point identification information used for identifying each set point, and storing the same; a set point specifying portion, for specifying a passed-by set point detected by the set point detection portion based on the set point identification information; a driving distance calculation portion, for calculating a driving distance between the set point specified by the set point specifying portion and a current position; and a current position specifying portion, for specifying the current position based on the position of the set point detected by the set point position information and the driving distance between the set point and the current position calculated by the driving distance calculation portion.",1
