family_id,expansion_level,title,abstract,text,label
68359126,SEED,A kind of adenine base edit tool and application thereof,"The present invention relates to field of biotechnology, more particularly to a kind of adenine base edit tool and application thereof.The present invention provides a kind of fusion protein, including ecTadA-ecTadA* dimer fragment and SpCas9-D10A nickase segment, the ecTadA-ecTadA* dimer fragment include ecTad segment and ecTadA* segment.There are R153P, N46A amino acid mutations relative to wild type for ecTadA segment in ecTadA-ecTadA* dimer fragment for adenine base edit tool provided by the present invention, the combination of ecTadA and RNA can be limited, in the base editor for holding 4-7 A to sport G sgRNA 5 &#39;, the RNA undershooting-effect for even being eliminated adenine base edit tool can be greatly reduced.","A kind of adenine base edit tool and application thereof The present invention relates to field of biotechnology, more particularly to a kind of adenine base edit tool and application thereof.The present invention provides a kind of fusion protein, including ecTadA-ecTadA* dimer fragment and SpCas9-D10A nickase segment, the ecTadA-ecTadA* dimer fragment include ecTad segment and ecTadA* segment.There are R153P, N46A amino acid mutations relative to wild type for ecTadA segment in ecTadA-ecTadA* dimer fragment for adenine base edit tool provided by the present invention, the combination of ecTadA and RNA can be limited, in the base editor for holding 4-7 A to sport G sgRNA 5 &#39;, the RNA undershooting-effect for even being eliminated adenine base edit tool can be greatly reduced.",1
17667826,ANTISEED-AF,Feeder line for stacker crane,"PURPOSE: To safely divide a feeder line for a stacker crane for an an automatic warehouse, when a fire shutter goes down, by pushing upward a part of the feeder line, which is located right under the fine shutter, by means of a spring to hold it horizontal and making the part freely rotate in a vertical plane.  
     CONSTITUTION: A feeder line 3 right under a fire shutter 5 is separated from feeder lines 2a and 2b and formed in such a manner that it can freely by rotated in a vertical plane by a hinge 6 and constantly pushed upward by a spring 7. In this constitution, when the shutter 5 goes down the shutter 5 overcomes the force of the spring 7 and rotates the feeder line 3 downward. When the shutter goes back to the former positon in a ceiling, the feeder line 3 is returned to where it was. With this constitution, a shutter can go up or down safely and easily. 
     COPYRIGHT: (C)1990,JPO&amp;Japio","Feeder line for stacker crane PURPOSE: To safely divide a feeder line for a stacker crane for an an automatic warehouse, when a fire shutter goes down, by pushing upward a part of the feeder line, which is located right under the fine shutter, by means of a spring to hold it horizontal and making the part freely rotate in a vertical plane. CONSTITUTION: A feeder line 3 right under a fire shutter 5 is separated from feeder lines 2a and 2b and formed in such a manner that it can freely by rotated in a vertical plane by a hinge 6 and constantly pushed upward by a spring 7. In this constitution, when the shutter 5 goes down the shutter 5 overcomes the force of the spring 7 and rotates the feeder line 3 downward. When the shutter goes back to the former positon in a ceiling, the feeder line 3 is returned to where it was. With this constitution, a shutter can go up or down safely and easily. COPYRIGHT: (C)1990,JPO&amp;Japio",0
68294763,SEED,A kind of plant fixed point recombination method that repeated fragment mediates,"The present invention provides the plants that a kind of repeated fragment mediates to pinpoint recombination method, and specifically, the present invention provides a kind of donor dna with specific repetitive sequence, and the reagent for gene editing combines.The present invention cuts the specific site of target gene by fixed point cutting nuclease, the efficient donor DNA segment is integrated into cleavage site by using the donor dna with specific structure.","A kind of plant fixed point recombination method that repeated fragment mediates The present invention provides the plants that a kind of repeated fragment mediates to pinpoint recombination method, and specifically, the present invention provides a kind of donor dna with specific repetitive sequence, and the reagent for gene editing combines.The present invention cuts the specific site of target gene by fixed point cutting nuclease, the efficient donor DNA segment is integrated into cleavage site by using the donor dna with specific structure.",1
54011878,SEED,Non-human animal modified in gene for exerting human epo,"To provide a gene-modified non-human animal which exerts a human EPO from an animal genome, and a method for creating the non-human animal.SOLUTION: There is provided a mouse for exerting human EPO protein (hEPO) which is created by: a process for making a nucleic acid sequence including a coding sequence or its segment which is functionally connected to an EPO promoter sequence contact with a mouse pluripotent stem cell, being a process for forming a cassette in which sequences in which the coding sequence and the promoter sequence are homologous with an endogenous mouse EPO gene locus adjacently contact with each other; a process for cultivating the pluripotent stem cell under a condition that the integration of the nucleic acid sequence to a mouse genome at the endogenous mouse EPO gene locus caused by a homologous recombination is promoted; and a process for creating a mouse from the mouse pluripotent stem cell including the nucleic acid sequence for coding the hEPO.SELECTED DRAWING: Figure 2","Non-human animal modified in gene for exerting human epo To provide a gene-modified non-human animal which exerts a human EPO from an animal genome, and a method for creating the non-human animal.SOLUTION: There is provided a mouse for exerting human EPO protein (hEPO) which is created by: a process for making a nucleic acid sequence including a coding sequence or its segment which is functionally connected to an EPO promoter sequence contact with a mouse pluripotent stem cell, being a process for forming a cassette in which sequences in which the coding sequence and the promoter sequence are homologous with an endogenous mouse EPO gene locus adjacently contact with each other; a process for cultivating the pluripotent stem cell under a condition that the integration of the nucleic acid sequence to a mouse genome at the endogenous mouse EPO gene locus caused by a homologous recombination is promoted; and a process for creating a mouse from the mouse pluripotent stem cell including the nucleic acid sequence for coding the hEPO.SELECTED DRAWING: Figure 2",1
69984866,SEED,Method for introducing CRISPR-Cas9 system into human stem cells,"The invention relates to a method for efficiently introducing a CRISPR-Cas9 gene editing system into human stem cells, which comprises the following steps: (1) constructing and obtaining HBB-sgRNA-Cas9-T2A-GFP-SZ recombinant plasmid; (2) introducing the HBB-sgRNA-Cas9-T2A-GFP-SZ recombinant plasmid into a human stem cell by adopting a Neon system; the conditions for electroporation transfection are: when the human stem cell is a human mesenchymal stem cell: the pulse voltage is 1300-1700V, the pulse time interval is less than 30ms, and the pulse frequency is at least once; when the human stem cells are human hematopoietic stem cells: 1450 and 1550V of pulse voltage, 40ms of pulse width and at least one pulse number; (3) and (5) culturing the cells. The invention utilizes an electroporation method to transfer the CRIPSR-Cas9 gene editing system into the stem cells, and can effectively improve the survival rate of the stem cells after electroporation transfection.","Method for introducing CRISPR-Cas9 system into human stem cells The invention relates to a method for efficiently introducing a CRISPR-Cas9 gene editing system into human stem cells, which comprises the following steps: (1) constructing and obtaining HBB-sgRNA-Cas9-T2A-GFP-SZ recombinant plasmid; (2) introducing the HBB-sgRNA-Cas9-T2A-GFP-SZ recombinant plasmid into a human stem cell by adopting a Neon system; the conditions for electroporation transfection are: when the human stem cell is a human mesenchymal stem cell: the pulse voltage is 1300-1700V, the pulse time interval is less than 30ms, and the pulse frequency is at least once; when the human stem cells are human hematopoietic stem cells: 1450 and 1550V of pulse voltage, 40ms of pulse width and at least one pulse number; (3) and (5) culturing the cells. The invention utilizes an electroporation method to transfer the CRIPSR-Cas9 gene editing system into the stem cells, and can effectively improve the survival rate of the stem cells after electroporation transfection.",1
52829478,SEED,Crispr/cas-related methods and compositions for treating herpes simplex virus type 2 (hsv-2),CRISPR/CAS-related compositions and methods for treatment of HSV-2 are disclosed.,Crispr/cas-related methods and compositions for treating herpes simplex virus type 2 (hsv-2) CRISPR/CAS-related compositions and methods for treatment of HSV-2 are disclosed.,1
72344877,SEED,sgRNA for specifically recognizing pig AP2 site and application thereof,"The invention discloses a sgRNA for specifically identifying a pig AP2 site, which is identified at the upstream of a pig AP2 gene stop codon, has strong specificity and can effectively reduce the off-target phenomenon existing in a CRISPR/Cas9 system, the sgRNA can guide Cas9 nuclease to carry out accurate and efficient targeted modification on the pig AP2 site so as to analyze the function of an AP2 gene and lay a foundation for identifying a novel friendly gene locus, in addition, the AP2 gene is a gene specifically expressed in fat cells, and the successful identification of the friendly site is expected to achieve the purpose of specific expression of foreign gene tissues.","sgRNA for specifically recognizing pig AP2 site and application thereof The invention discloses a sgRNA for specifically identifying a pig AP2 site, which is identified at the upstream of a pig AP2 gene stop codon, has strong specificity and can effectively reduce the off-target phenomenon existing in a CRISPR/Cas9 system, the sgRNA can guide Cas9 nuclease to carry out accurate and efficient targeted modification on the pig AP2 site so as to analyze the function of an AP2 gene and lay a foundation for identifying a novel friendly gene locus, in addition, the AP2 gene is a gene specifically expressed in fat cells, and the successful identification of the friendly site is expected to achieve the purpose of specific expression of foreign gene tissues.",1
20587322,ANTISEED-AF,Shock stand for determining the dynamic characteristics of acceleration sensors,,Shock stand for determining the dynamic characteristics of acceleration sensors,0
58763546,SEED,Dna methylation editing kit and dna methylation editing method,"A DNA methylation editing kit including: (1) a fused protein of inactivated CRISPR-associated endonuclease Cas9 (dCas9) having no nuclease activity and a tag peptide array in which a plurality of tag peptides are linked by linkers, or RNA or DNA encoding the fused protein; (2) a fused protein of a tag peptide binding site and a methylase or demethylase, or RNA or DNA encoding the fused protein; and (3) guide RNA (gRNA) that includes a sequence complementary to a DNA sequence within 1 kb of a desired site of methylation or demethylation, or DNA expressing the gRNA.","Dna methylation editing kit and dna methylation editing method A DNA methylation editing kit including: (1) a fused protein of inactivated CRISPR-associated endonuclease Cas9 (dCas9) having no nuclease activity and a tag peptide array in which a plurality of tag peptides are linked by linkers, or RNA or DNA encoding the fused protein; (2) a fused protein of a tag peptide binding site and a methylase or demethylase, or RNA or DNA encoding the fused protein; and (3) guide RNA (gRNA) that includes a sequence complementary to a DNA sequence within 1 kb of a desired site of methylation or demethylation, or DNA expressing the gRNA.",1
63316867,SEED,A kind of method and its application of CRISPR partings PCR,"The invention discloses a kind of method and its application of CRISPR partings PCR, this method is a kind of method of progress DNA detection and parting.Routine PCR reaction system is added in the sgRNA of Cas9 albumen and targeting target dna by this method, and a short time constant-temperature incubation program is added before PCR response procedures, starts standard PCR amplification program later.The invention discloses the method for CRISPR partings PCR be a kind of homogeneous detection technique, only need a PCR amplification step that detection can be completed, present invention utilizes CRISPR technologies to the specific recognition cutting characteristic of DNA, simply, homogeneously, enzyme rapidly and sensitively to target dna it can carry out specific detection and parting, it is a kind of DNA new detecting methods with high specific and sensitivity, people HPV DNA in clinical sample is successfully detected by the method with the present invention.","A kind of method and its application of CRISPR partings PCR The invention discloses a kind of method and its application of CRISPR partings PCR, this method is a kind of method of progress DNA detection and parting.Routine PCR reaction system is added in the sgRNA of Cas9 albumen and targeting target dna by this method, and a short time constant-temperature incubation program is added before PCR response procedures, starts standard PCR amplification program later.The invention discloses the method for CRISPR partings PCR be a kind of homogeneous detection technique, only need a PCR amplification step that detection can be completed, present invention utilizes CRISPR technologies to the specific recognition cutting characteristic of DNA, simply, homogeneously, enzyme rapidly and sensitively to target dna it can carry out specific detection and parting, it is a kind of DNA new detecting methods with high specific and sensitivity, people HPV DNA in clinical sample is successfully detected by the method with the present invention.",1
