raw,norm,group,국적
11712381 Canada Corporation,11712381 CANADA,11712381 CANADA,미상
"123IV, Inc.",123IV,123IV,US
2021A351US1,2021A351US1,2021A351US1,CN
3M INNOVATIVE PROPERTIES COMPANY,3M INNOVATIVE PROPERTIES,3M INNOVATIVE PROPERTIES,US
"6 RIVER SYSTEMS, INC.",6 RIVER SYSTEMS,6 RIVER SYSTEMS,US
Aaron Thomas Bacon,AARON THOMAS BACON,AARON THOMAS BACON,US
ABB Inc.,ABB,ABB,US
ABB Schweiz AG,ABB SCHWEIZ,ABB,CH
ABB SCHWEIZ AG,ABB SCHWEIZ,ABB,CH
"ABUNDANT ROBOTS, INC.",ABUNDANT ROBOTS,ABUNDANT ROBOTS,US
ACCENTURE GLOBAL SERVICES LIMITED,ACCENTURE GLOBAL SERVICES,ACCENTURE GLOBAL SERVICES,IE
ACCENTURE GLOBAL SOLUTIONS LIMITED,ACCENTURE GLOBAL SOLUTIONS,ACCENTURE GLOBAL SOLUTIONS,IE
ACUMINO,ACUMINO,ACUMINO,US
Addverb Technologies Limited,ADDVERB TECHNOLOGIES,ADDVERB TECHNOLOGIES,IN
ADEMCO INC.,ADEMCO,ADEMCO,US
"Advanced Solutions Life Sciences, LLC",ADVANCED SOLUTIONS LIFE SCIENCES,ADVANCED SOLUTIONS LIFE SCIENCES,US
AEOLUS ROBOTICS,AEOLUS ROBOTICS,AEOLUS ROBOTICS,US
Agency for Defense Development,AGENCY FOR DEFENSE DEVELOPMENT,AGENCY FOR DEFENSE DEVELOPMENT,KR
"AGILE ROBOTS HANOVER GMBH, NOW TRADING AS FRANKA ROBOTICS GMBH",AGILE ROBOTS HANOVER NOW TRADING AS FRANKA ROBOTICS,FRANKA,DE
"AGILITY ROBOTICS, INC.",AGILITY ROBOTICS,AGILITY ROBOTICS,US
AI Incorporated,AI,AI,CA
AIRBUS OPERATIONS GMBH,AIRBUS OPERATIONS,AIRBUS OPERATIONS,DE
AISAN KOGYO KABUSHIKI KAISHA,AISAN KOGYO,AISAN KOGYO,JP
"AIVOT, LLC",AIVOT,AIVOT,US
"AJINEXTEK CO., LTD.",AJINEXTEK,AJINEXTEK,KR
AJOU UNIVERSITY INDUSTRY-ACADEMIC COOPERATION,AJOU UNIVERSITY INDUSTRY-ACADEMIC COOPERATION,AJOU UNIVERSITY INDUSTRY-ACADEMIC COOPERATION,KR
Al Incorporated,AL,AL,CA
Alan Rosen,ALAN ROSEN,ALAN ROSEN,US
Alderbaran Robotics,ALDERBARAN ROBOTICS,ALDERBARAN ROBOTICS,FR
Alekh Rajesh Beri,ALEKH RAJESH BERI,ALEKH RAJESH BERI,US
Alina Grädener,ALINA GRÄDENER,ALINA GRÄDENER,DE
"Ally Robotics, Inc.",ALLY ROBOTICS,ALLY ROBOTICS,US
"Altec Industries, Inc.",ALTEC INDUSTRIES,ALTEC INDUSTRIES,US
"Amazon Technologies, Inc.",AMAZON TECHNOLOGIES,AMAZON,US
"AMAZON TECHNOLOGIES, INC.",AMAZON TECHNOLOGIES,AMAZON,US
"AMICRO SEMICONDUCTOR CO., LTD.",AMICRO SEMICONDUCTOR,AMICRO SEMICONDUCTOR,CN
Amir Khajepour,AMIR KHAJEPOUR,AMIR KHAJEPOUR,CA
AMP Robotics Corporation,AMP ROBOTICS,AMP ROBOTICS,US
"AmTRAN Technology Co., Ltd.",AMTRAN TECHNOLOGY,AMTRAN TECHNOLOGY,TW
"ANGEL ROBOTICS CO., LTD.",ANGEL ROBOTICS,ANGEL ROBOTICS,KR
"Animax Designs, Inc.",ANIMAX DESIGNS,ANIMAX DESIGNS,US
"ANJI BATA ROBOT CO., LTD.",ANJI BATA ROBOT,ANJI BATA ROBOT,CN
Anthony Krejci,ANTHONY KREJCI,ANTHONY KREJCI,US
ANYWARE ROBOTICS INC.,ANYWARE ROBOTICS,ANYWARE ROBOTICS,US
"APIARY HOLDINGS, LLC",APIARY,APIARY,US
"APPLIED MATERIALS, INC.",APPLIED MATERIALS,APPLIED MATERIALS,US
"APPTRONIK, INC.",APPTRONIK,APPTRONIK,US
Aquila Engineering LLC,AQUILA ENGINEERING,AQUILA ENGINEERING,US
ARIANEGROUP SAS,ARIANEGROUP,ARIANEGROUP,FR
"ARISTOCRAT TECHNOLOGIES, INC (ATI)",ARISTOCRAT TECHNOLOGIES (ATI),ARISTOCRAT TECHNOLOGIES (ATI),US
"ARIX TECHNOLOGIES, INC.",ARIX TECHNOLOGIES,ARIX TECHNOLOGIES,US
ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,US
Arizona Board of Regents on behalf of Arizona State University,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,US
Arizona Board of Regents on Behalf of Arizona State University,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,ARIZONA BOARD OF REGENTS ON BEHALF OF ARIZONA STATE UNIVERSITY,US
ARROWEAD CENTER,ARROWEAD CENTER,ARROWEAD CENTER,US
ASCEND ROBOTICS LLC,ASCEND ROBOTICS,ASCEND ROBOTICS,US
"ASENSUS SURGICAL US, INC.",ASENSUS SURGICAL US,ASENSUS SURGICAL US,US
ASUSTeK COMPUTER INC.,ASUSTEK COMPUTER,ASUSTEK COMPUTER,TW
"AT&T Intellectual Property I, L.P.",AT&T INTELLECTUAL PROPERTY I LP,AT&T INTELLECTUAL PROPERTY I LP,US
"ATI Industrial Automation, Inc.",ATI INDUSTRIAL AUTOMATION,ATI INDUSTRIAL AUTOMATION,US
AURORA FLIGHT SCIENCES CORPORATION,AURORA FLIGHT SCIENCES,AURORA FLIGHT SCIENCES,US
"AUTODESK, INC.",AUTODESK,AUTODESK,US
Autofuss,AUTOFUSS,AUTOFUSS,US
"AUTOMATED TIRE, INC.",AUTOMATED TIRE,AUTOMATED TIRE,US
AUTONOX HOLDING GMBH,AUTONOX,AUTONOX,DE
AUTONOX ROBOTICS GMBH,AUTONOX ROBOTICS,AUTONOX ROBOTICS,DE
AUTOWRAP ROBOTICS LLC,AUTOWRAP ROBOTICS,AUTOWRAP ROBOTICS,US
"AVAR ROBOTICS, INC.",AVAR ROBOTICS,AVAR ROBOTICS,US
Avaya Inc.,AVAYA,AVAYA,US
"AVIATRIX SYSTEMS, INC.",AVIATRIX SYSTEMS,AVIATRIX SYSTEMS,US
"BACA SYSTEMS, LLC",BACA SYSTEMS,BACA SYSTEMS,US
BAE SYSTEMS PLC,BAE SYSTEMS,BAE SYSTEMS,GB
BAIDU USA LLC,BAIDU USA,BAIDU USA,US
BAKER HUGHES OILFIELD OPERATIONS LLC,BAKER HUGHES OILFIELD OPERATIONS,BAKER HUGHES OILFIELD OPERATIONS,US
Bank of America Corporation,BANK OF AMERICA,BANK OF AMERICA,US
Battelle Memorial Institute,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,US
BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,US
BATTENBERG ROBOTIC GMBH & CO. KG,BATTENBERG ROBOTIC & CO KG,BATTENBERG ROBOTIC & CO KG,DE
BAYER AKTIENGESELLSCHAFT,BAYER,BAYER,DE
Bayerische Motoren Werke Aktiengesellschaft,BAYERISCHE MOTOREN WERKE,BAYERISCHE MOTOREN WERKE,DE
"BEAR ROBOTICS, INC.",BEAR ROBOTICS,BEAR ROBOTICS,US
"Bear Robotics, Inc.",BEAR ROBOTICS,BEAR ROBOTICS,US
BECKHOFF AUTOMATION GMBH,BECKHOFF AUTOMATION,BECKHOFF AUTOMATION,DE
"BECKMAN COULTER, INC.",BECKMAN COULTER,BECKMAN COULTER,US
BEIJING GEEKPLUS TECHNOLOGY CO. LTD.,BEIJING GEEKPLUS TECHNOLOGY,BEIJING GEEKPLUS TECHNOLOGY,CN
"BEIJING GEEKPLUS TECHNOLOGY CO., LTD.",BEIJING GEEKPLUS TECHNOLOGY,BEIJING GEEKPLUS TECHNOLOGY,CN
BEIJING INSTITUTE OF TECHNOLOGY,BEIJING INSTITUTE OF TECHNOLOGY,BEIJING INSTITUTE OF TECHNOLOGY,CN
"BEIJING JINGDONG QIANSHI TECHNOLOGY CO., LTD.",BEIJING JINGDONG QIANSHI TECHNOLOGY,BEIJING JINGDONG QIANSHI TECHNOLOGY,CN
"Beijing Jingdong Shangke Information Technology Co., Ltd.",BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY,CN
"BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO., LTD.",BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY,BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY,CN
