record_id,등록번호,발명의 명칭,출원인,출원인_norm,출원인_그룹,출원인_국적1,출원일,WIPS패밀리 ID,Current CPC Main,relevance_score,candidate_type,label_v1,gold_v1_1,adjust
17/710949,12134194,"Robot balance control method, robot controller and computer readable storage medium",UBTECH ROBOTICS CORP LTD,UBTECH ROBOTICS,UBTECH,CN,2022-03-31,28825289,B25J-0009/1664,0.9,positive,T1_auto,True,
16/943884,11548152,Systems and methods for robotic control under contact,"DEXTROUS ROBOTICS, INC.",DEXTROUS ROBOTICS,DEXTROUS ROBOTICS,US,2020-07-30,1173640,B25J-0009/023,0.85,positive,GRAY,True,
15/772368,10695913,Underactuated robotic hand,UNIVERSITA' DI PISA | FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,UNIVERSITA' DI PISA,UNIVERSITA' DI PISA,IT,2016-10-27,3461913,B25J-0015/0009,0.85,positive,GRAY,True,
15/078380,10239206,"Robot controlling method, robot apparatus, program and recording medium",CANON KABUSHIKI KAISHA,CANON,CANON,JP,2016-03-23,5048906,B25J-0009/1638,0.85,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/258815,10272568,"Robot apparatus, robot controlling method, program, recording medium, and assembly manufacturing method",CANON KABUSHIKI KAISHA,CANON,CANON,JP,2016-09-07,5095260,B25J-0009/1633,0.85,positive,GRAY,True,
15/315318,10022866,Robot control device,"KABUSHIKI KAISHA KOBE SEIKO SHO (KOBE STEEL, LTD.)",KOBE SEIKO SHO (KOBE STEEL ),KOBE SEIKO SHO (KOBE STEEL ),JP,2015-05-26,5097145,B25J-0009/1633,0.85,positive,GRAY,True,
15/518880,10384343,Modular robotic finger for grasping and dexterous handling,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) | UNIVERSITE DE POITIERS,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),FR,2015-10-14,5134885,B25J-0009/104,0.85,positive,GRAY,True,
15/617699,10702989,"Method of controlling robot apparatus, robot apparatus, and method of manufacturing article",CANON KABUSHIKI KAISHA,CANON,CANON,JP,2017-06-08,5171335,B25J-0009/1666,0.85,positive,GRAY,True,
15/755146,10786908,Device for attaching to a robot,SIEMENS AKTIENGESELLSCHAFT,SIEMENS,SIEMENS,DE,2016-07-29,5211567,B25J-0015/0616,0.85,positive,GRAY,True,
15/466984,10232510,Robot control,CMR SURGICAL LIMITED,CMR SURGICAL,CMR SURGICAL,GB,2017-03-23,5287509,B25J-0009/1638,0.85,positive,GRAY,True,
16/617169,10864631,Robotic grasping prediction using neural networks and geometry aware object representation,GOOGLE LLC,GOOGLE,ALPHABET,US,2018-06-18,5343438,B25J-0009/1612,0.85,positive,GRAY,True,
16/376938,11148295,"Systems, devices, components, and methods for a compact robotic gripper with palm-mounted sensing, grasping, and computing devices and components","ROBOTIC MATERIALS, INC.",ROBOTIC MATERIALS,ROBOTIC MATERIALS,US,2019-04-05,5387749,B25J-0009/1612,0.85,positive,GRAY,True,
16/569100,11185975,Walking control system and control method of robot,Hyundai Motor Company | Kia Motors Corporation,HYUNDAI MOTOR,HYUNDAI MOTOR GROUP,KR,2019-09-12,5461378,B25J-0009/0006,0.85,positive,T1_auto,True,
17/040075,11865723,Control method for a robotic system,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY,VANDERBILT UNIVERSITY,US,2019-04-30,5523207,B25J-0009/1664,0.85,positive,GRAY,True,
17/418997,12036675,"Robot control device, robot system, and robot control method",KAWASAKI JUKOGYO KABUSHIKI KAISHA,KAWASAKI JUKOGYO,KAWASAKI HEAVY INDUSTRIES,JP,2019-12-27,5599298,B25J-0009/163,0.85,positive,GRAY,True,
17/275311,12049011,"Robot control device, robot control method, and recording medium storing robot control program",OMRON CORPORATION,OMRON,OMRON,JP,2019-11-27,5604847,B25J-0009/1666,0.85,positive,GRAY,True,
16/792088,11865714,Robotic limb,"Samsung Electronics Co., Ltd. | Samsung Electronics Company, Ltd.",SAMSUNG ELECTRONICS,SAMSUNG,KR,2020-02-14,5646662,B25J-0009/0018,0.85,positive,GRAY,True,
14/590032,9463573,"Robot control system, robot system, and sensor information processing apparatus",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2015-01-06,16364568,B25J-0009/1694,0.85,positive,GRAY,True,
15/098230,10183397,"Robot device, robot control method, program, and recording medium",Canon Kabushiki Kaisha,CANON,CANON,JP,2016-04-13,16667102,B25J-0009/1633,0.85,positive,GRAY,True,
15/842423,10618176,"Robot apparatus, robot control method, program, and recording medium",Canon Kabushiki Kaisha,CANON,CANON,JP,2017-12-14,16928749,B25J-0009/1694,0.85,positive,GRAY,True,
14/629556,9427868,Method for developing and controlling a robot to have movements matching an animation character,"Disney Enterprises, Inc.",DISNEY ENTERPRISES,DISNEY ENTERPRISES,US,2015-02-24,17005338,B25J-0009/1605,0.85,positive,T1_auto,True,
15/097662,10245725,Robot apparatus and method for controlling robot apparatus,CANON KABUSHIKI KAISHA,CANON,CANON,JP,2016-04-13,17042821,B25J-0009/1633,0.85,positive,GRAY,True,
15/335863,10335964,Method and system for controlling robot,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2016-10-27,17126737,B25J-0019/06,0.85,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/358925,9855664,Robot safety system,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2016-11-22,17137898,B25J-0019/06,0.85,positive,GRAY,True,
15/676503,10507583,Robot control device,FANUC CORPORATION,FANUC,FANUC,JP,2017-08-14,17268264,B25J-0009/1697,0.85,positive,GRAY,True,
15/910559,10933538,"End effector, hand device and robot equipped with the same","HONDA MOTOR CO., LTD.",HONDA MOTOR,HONDA,JP,2018-03-02,17360748,B25J-0015/08,0.85,positive,GRAY,True,
15/892497,10137578,"Joint structure, hand device, robot arm and robot","HONDA MOTOR CO., LTD.",HONDA MOTOR,HONDA,JP,2018-02-09,17360747,B25J-0015/08,0.85,positive,GRAY,True,
15/964397,10486307,Robot control device and computer readable medium,FANUC CORPORATION,FANUC,FANUC,JP,2018-04-27,17396077,B25J-0009/1661,0.85,positive,GRAY,True,
