record_id,등록번호,발명의 명칭,출원인,출원인_norm,출원인_그룹,출원인_국적1,출원일,WIPS패밀리 ID,Current CPC Main,relevance_score,candidate_type,label_v1,gold_v1_1,adjust
15/078380,10239206,"Robot controlling method, robot apparatus, program and recording medium",CANON KABUSHIKI KAISHA,CANON,CANON,JP,2016-03-23,5048906,B25J-0009/1638,0.85,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/335863,10335964,Method and system for controlling robot,DENSO WAVE INCORPORATED,DENSO WAVE,DENSO,JP,2016-10-27,17126737,B25J-0019/06,0.85,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/386140,11285603,"Information processing apparatus, control method, robot system, and storage medium",Canon Kabushiki Kaisha,CANON,CANON,JP,2019-04-16,17564154,B25J-0009/1664,0.85,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/954544,10857671,Robot,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2018-04-16,5039342,B25J-0009/12,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/656332,10363661,"Control device, robot, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,2017-07-21,5182197,B25J-0009/1687,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/137647,11130227,"Robot control device, robot, and robot system",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,미상,2018-09-21,5305698,B25J-0009/06,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/134969,10807238,Robot system and method for controlling robot,KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,2018-09-19,5305432,B25J-0009/1664,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
16/969184,11945120,"Robot control device, abnormality diagnosis method, and non-transitory computer readable medium",OMRON CORPORATION,OMRON,OMRON,JP,2019-02-19,5506171,B25J-0009/1674,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
17/048813,12005577,Robot assembly,KUKA DEUTSCHLAND GMBH,KUKA DEUTSCHLAND,KUKA,DE,2019-04-16,5518426,B25J-0009/161,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
15/873848,10661443,"Robot apparatus, robot controlling method, program and recording medium",CANON KABUSHIKI KAISHA,CANON,CANON,JP,2018-01-17,16798327,B25J-0013/088,0.8,positive,GRAY,False,제외:산업용 주변기술(일반제어·진동·경로·측정·교시UI·공정)
