출원번호,등록번호,출원일,발명의 명칭,출원인,출원인_norm,출원인_그룹,출원인_국적1,WIPS패밀리 ID,_패밀리내건수,Current CPC Main,label_v1,label_source,신호_휴머노이드,신호_Tier,신호_제외_수술,신호_제외_외골격,신호_제외_청소,신호_제외_물류전용,신호_제외_완구,_결함
15/766493,10836035,2015-10-07,"Operation control device for movable apparatus, operation control system, and method of controlling operations by movable apparatus",OKURA YUSOKI KABUSHIKI KAISHA,OKURA YUSOKI,OKURA YUSOKI,JP,1050415,1,B25J-0009/1628,GRAY,,False,True,False,False,False,False,False,
16/473859,11541538,2017-12-08,Robot cleaner and control method thereof,LG ELECTRONICS INC.,LG ELECTRONICS,LG,KR,1095533,1,B25J-0009/1664,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
16/454232,11376730,2019-06-27,Modular robotic system,BLUEPRINT LAB PTY LTD,BLUEPRINT LAB PTY,BLUEPRINT LAB PTY,AU,1103629,1,B25J-0009/08,GRAY,,False,True,False,False,False,False,False,
17/271808,11919147,2019-08-29,Gripping apparatus,FASTBRICK IP PTY LTD,FASTBRICK IP PTY,FASTBRICK IP PTY,AU,1145484,1,B25J-0013/086,GRAY,,False,True,False,False,False,False,False,
16/943884,11548152,2020-07-30,Systems and methods for robotic control under contact,"DEXTROUS ROBOTICS, INC.",DEXTROUS ROBOTICS,DEXTROUS ROBOTICS,US,1173640,1,B25J-0009/023,GRAY,,False,True,False,False,False,False,False,
17/139868,11794345,2020-12-31,Unified robotic vehicle systems and methods of control,SARCOS CORP.,SARCOS,SARCOS,US,1209888,1,B25J-0009/1682,GRAY,,False,True,False,False,False,False,False,
16/754342,11433552,2018-10-10,"Method for the adaptive control of a wearable robot, such as an orthesis or a prosthesis, and wearable robot operating according such method",SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,IT,3112987,1,B25J-0013/088,E_auto,제외전용신호+Tier신호없음,False,False,False,True,False,False,False,
16/973170,11673270,2019-06-07,Predictive control method of a robot and related control system,POLITECNICO DI MILANO | SMART ROBOTS S.R.L.,POLITECNICO DI MILANO,POLITECNICO DI MILANO,IT,3388111,1,B25J-0009/1602,GRAY,,False,True,False,False,False,False,False,
15/772368,10695913,2016-10-27,Underactuated robotic hand,UNIVERSITA' DI PISA | FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,UNIVERSITA' DI PISA,UNIVERSITA' DI PISA,IT,3461913,1,B25J-0015/0009,GRAY,,False,True,False,False,False,False,False,
16/229402,11192245,2018-12-21,Independent end-effector control and operation,The Boeing Company,THE BOEING,THE BOEING,US,3770248,1,B25J-0009/1664,GRAY,,False,False,False,False,False,False,False,
14/637822,9469032,2015-03-04,Method and system for robotic assembly parameter optimization,ABB Inc.,ABB,ABB,US,4402629,2,B25J-0009/1687,GRAY,,False,False,False,False,False,False,False,
14/692425,9844876,2015-04-21,Robot cleaner and control method thereof,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG ELECTRONICS,SAMSUNG,KR,4505891,1,B25J-0009/1664,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
15/082700,10022862,2016-03-28,Control-command architecture for a mobile robot using articulated limbs,Alderbaran Robotics | Aldebaran Robotics,ALDERBARAN ROBOTICS,ALDERBARAN ROBOTICS,FR,4506304,1,B25J-0009/161,T1_auto,휴머노이드명시/전건T1_OEM,True,True,False,False,False,False,False,
14/804928,9452534,2015-07-21,"Horizontal articulated robot, and method of controlling the same",Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,4655037,1,B25J-0013/088,GRAY,,False,True,False,False,False,False,False,
15/587615,10011012,2017-05-05,Semi-autonomous multi-use robot system and method of operation,Battelle Memorial Institute,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,US,4655505,1,B25J-0009/1666,GRAY,,False,True,False,False,False,False,False,
14/838806,9796088,2015-08-28,Robot cleaner and control method thereof,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG ELECTRONICS,SAMSUNG,KR,4687124,1,B25J-0009/1664,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
14/850664,9669551,2015-09-10,Robotic hand and fingers,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA,NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA,US,4791956,1,B25J-0015/0009,GRAY,,False,True,False,False,False,False,False,
16/932666,11865705,2020-07-17,Teleoperated robotic system,"Sarcos, LC",SARCOS LC,SARCOS LC,US,4795603,3,B25J-0003/04,GRAY,,False,True,False,False,False,False,False,
14/691013,9409293,2015-04-20,Robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,4795769,1,B25J-0009/1694,GRAY,,False,False,False,False,False,False,False,
15/248352,9623557,2016-08-26,Localization by learning of wave-signal distributions,iRobot Corporation,IROBOT,IROBOT,US,4844261,1,B25J-0009/1664,GRAY,,False,False,False,False,False,False,False,
15/925099,10792821,2018-03-19,Method and device for decelerating a robot axis arrangement,KUKA Deutschland GmbH,KUKA DEUTSCHLAND,KUKA,DE,4880830,1,B25J-0019/0004,GRAY,,False,False,False,False,False,False,False,
15/490638,10279479,2017-04-18,"Robot calibrating apparatus and robot calibrating method, and robot apparatus and method of controlling robot apparatus",CANON KABUSHIKI KAISHA,CANON,CANON,JP,4896096,1,B25J-0009/1692,GRAY,,False,True,False,False,False,False,False,
15/206933,10150215,2016-07-11,Robot control device and robot,Seiko Epson Corporation,SEIKO EPSON,SEIKO EPSON,JP,4907207,1,B25J-0009/1641,GRAY,,False,True,False,False,False,False,False,
16/367159,10857680,2019-03-27,Self-moving robot and walking method thereof,"ECOVACS ROBOTICS CO., LTD.",ECOVACS ROBOTICS,ECOVACS ROBOTICS,CN,4918500,1,B25J-0011/0085,GRAY,,False,True,False,False,False,False,False,
14/598084,9427863,2015-01-15,Robot cleaner and method of caring for human using the same,LG ELECTRONICS INC.,LG ELECTRONICS,LG,KR,4926540,1,B25J-0009/0003,E_auto,제외전용신호+Tier신호없음,False,False,False,False,True,False,False,
14/601233,10005188,2015-01-21,"Parallel link robot, hand for parallel link robot, and parallel link robot system",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,4927965,1,B25J-0015/0616,GRAY,,False,False,False,False,False,False,False,
14/619551,9415515,2015-02-11,Method and apparatus for fixing a manipulator axis,KUKA ROBOTER GMBH,KUKA ROBOTER,KUKA,DE,4934131,1,B25J-0009/1674,GRAY,,False,True,False,False,False,False,False,
14/636181,9545722,2015-03-03,"Robot system, robot monitoring device, and robot monitoring method",KABUSHIKI KAISHA YASKAWA DENKI,YASKAWA DENKI,YASKAWA,JP,4939253,1,B25J-0009/1697,GRAY,,False,True,False,False,False,False,False,
15/958518,RE47553,2018-04-20,"Robot, robot system, control device, and control method",Seiko Epson Corporation | Tohoku University,SEIKO EPSON,SEIKO EPSON,JP,4939569,1,B25J-0009/1612,GRAY,,False,True,False,False,False,False,False,
