record_id,patent_id,title,abstract,rep_claim,app_no,grant_no,pub_no,app_date,grant_date,assignee,current_owner,assignee_country,cpc_main_orig,cpc_main,cpc_all,family_id,family_size,n_backward_cites,n_forward_cites,n_claims,wips_key
14/588586,9399292,"System, method and robot terminal apparatus for providing robot interaction service utilizing location information of mobile communication terminal","A system and a method for providing a robot interaction service utilizing a location-based service of a mobile communication terminal. The system for providing a robot interaction service utilizing location information of a mobile communication terminal, includes: a mobile communication terminal for performing a mobile communication service through a wireless communication network, measuring a current location thereof and transmitting the measured location information to a predetermined robot terminal through a communication network; and a robot terminal for receiving the location information from the mobile communication terminal, determining a robot behavior based on the received location information, and controlling the operation thereof according to the determination result.","1. A system for providing a robot interaction service utilizing location information of a mobile communication terminal, comprising: a robot server, provided in a communication network, configured to receive a current location information of the mobile communication terminal and to transmit the location information to a robot terminal using the communication network; andthe robot terminal configured to receive the location information from the mobile communication terminal in order to determine a robot behavior based on the received location information, and to control the operation of the robot terminal based on the determined robot behavior.",14/588586,9399292,2015-0120046,2015-01-02,2016-07-26,KT Corporation,KT Corporation,KR,B25J-0009/163,H04W-0004/029,H04W-0004/029 | B25J-0009/163 | H04W-0004/02 | B25J-0009/1669 | H04B-0001/38 | H04L-0067/10 | H04W-0004/025 | H04W-0004/18 | H04W-0084/005 | G05B-2219/39259 | G05B-2219/40202 | G05B-2219/40411 | G05B-2219/40543 | H04W-0004/023 | Y10S-0901/46 | Y10S-0901/50,23759689,4,13,8,18,4916030000878
14/589562,11185985,Inspecting components using mobile robotic inspection systems,A method for mobile robotic based inspection includes delivery of inspection requirements identifying a part and one or more inspection mode types. A three-dimensional model of the part and one or more physical attributes or specifications of the aeronautical part are received. A plurality of different motion sequences for the robot inspection system are determined to evaluate a plurality of predefined points on the component using one or more sensors for the one or more inspection types. Data acquisition parameters are determined for inspection sequence to allow for collection of inspection data for one or more inspection modes. A motion sequence from the plurality of different motion sequences is selected based on one or more parameters. An optimized inspection program configured to update operating parameters of the robot inspection system to perform the selected motion sequence and capture data using the one or more sensors is generated.,"1. A method for robotic based inspection, comprising: receiving inspection requirements identifying a component and one or more inspection mode types at a control computer;receiving a three-dimensional model of the component and one or more physical attributes of the component at the control computer;automatically determining a plurality of different motion sequences for the robotic inspection system by a programming module of the control computer to evaluate a plurality of predefined points on the component using one or more sensors for the one or more inspection types;determining data acquisition parameters for inspection sequence using the control computer to allow for collection of inspection data for one or more inspection modes;selecting a motion sequence from the plurality of different motion sequences based on one or more parameters using the control computer;automatically generating an inspection program using the programming module of the control computer without operator programming, the inspection program configured to update operating parameters of the robotic inspection system to perform the selected motion sequence and capture data using the one or more sensors;validating the inspection program to ensure safe operation of the robotic inspection system by the control computer;automatically transmitting the entire inspection program from the control computer to the robotic inspection system prior to execution of the inspection program by the robotic inspection system;after receiving the entire inspection program, executing the inspection program by the robotic inspection system, the inspection program generating commands to automatically inspect the component by causing the robotic inspection system to perform the selected motion sequence, and capture the data using the one or more sensors; andupon completion of the inspection by the robotic inspection system, transmitting the captured data from the robotic inspection system to the control computer.",14/589562,11185985,2016-0195390,2015-01-05,2021-11-30,BELL HELICOPTER TEXTRON INC.,BELL HELICOPTER TEXTRON INC.,US,B25J-0009/1679,B64F-0005/60,B64F-0005/60 | B25J-0009/1679 | B25J-0005/007 | B25J-0009/1664 | B25J-0009/1676 | B25J-0011/00 | B25J-0009/1671 | B25J-0009/1674 | B25J-0009/1697 | Y10S-0901/09 | Y10S-0901/44,28469344,1,60,44,20,4921049001597
14/589429,9440354,Localization by learning of wave-signal distributions,"A robot having a signal sensor configured to measure a signal, a motion sensor configured to measure a relative change in pose, a local correlation component configured to correlate the signal with the position and/or orientation of the robot in a local region including the robot's current position, and a localization component configured to apply a filter to estimate the position and optionally the orientation of the robot based at least on a location reported by the motion sensor, a signal detected by the signal sensor, and the signal predicted by the local correlation component. The local correlation component and/or the localization component may take into account rotational variability of the signal sensor and other parameters related to time and pose dependent variability in how the signal and motion sensor perform. Each estimated pose may be used to formulate new or updated navigational or operational instructions for the robot.","1. A robot configured to determine its location and orientation in an environment in which a signal, external to the robot, is present, the robot comprising: a signal sensor configured to detect a property of the signal;a movement system configured to move the robot from a first pose comprising a first location in the environment at a first time to a second pose comprising a second location at a second time, the second location proximate to the first location;a motion sensor configured to detect a change in location between the first pose and the second pose;a local signal estimator configured to predict the value of the signal property at a plurality of poses, the plurality of poses comprising poses with respective predefined locations proximate to the first pose; anda localization component configured to estimate the robot'ss second pose based at least in part on a value of the signal property as detected by the signal sensor at the second pose, the change in pose between the first pose and the second pose as detected by the motion sensor, and a predicted value of the signal property at the estimated second pose based at least in part on one or more of the values predicted by the local signal estimator.",14/589429,9440354,2015-0197011,2015-01-05,2016-09-13,iRobot Corporation,IROBOT CORPORATION,US,B25J-0009/1664,B25J-0009/1664,B25J-0009/1664 | B25J-0009/1694 | G05D-0001/0234 | G05D-0001/0261 | G05D-0001/027 | G05D-0001/0272 | G05D-0001/0274 | G05D-0001/028 | Y10S-0901/01 | Y10S-0901/09 | Y10S-0901/46,4844261,26,106,18,20,4916037001638
14/590032,9463573,"Robot control system, robot system, and sensor information processing apparatus","A robot control system includes a force control unit configured to output a correction value of a target track of a robot on the basis of sensor information acquired from a force sensor, a target-value output unit configured to apply correction processing based on the correction value to the target track to calculate a target value and output the calculated target value, and a robot control unit configured to perform feedback control of the robot on the basis of the target value. The force control unit includes a digital filter unit. The force control unit applies digital filter processing by the digital filter unit to the sensor information to calculate a solution of an ordinary differential equation in force control and outputs the correction value on the basis of the calculated solution.","1. A robot control system for controlling a robot having a sensor, the system comprising: a digital filter that outputs a correction value used for feedback control of the robot, wherein the digital filter includes a digital filter coefficient output unit that calculates and outputs a digital filter coefficient based on coefficient parameters of an ordinary differential equation associated with control of the robot, anda digital filter arithmetic unit that performs a digital filter process for controlling the robot based on the digital filter coefficient and data received from the sensor.",14/590032,9463573,2015-0112487,2015-01-06,2016-10-11,Seiko Epson Corporation,Seiko Epson Corporation,JP,B25J-0009/1694,B25J-0009/1694,B25J-0009/1694 | B25J-0009/16 | B25J-0009/1612 | B25J-0009/1633 | B25J-0013/08 | G05B-2219/39325 | G05B-2219/39343 | G05B-2219/39529 | G05B-2219/41166 | Y10S-0901/09,16364568,5,25,4,9,4916041001460
14/590223,9452532,"Robot, device and method for controlling robot, and computer-readable non-transitory recording medium","A robot determines whether or not an operator or an object is jammed between a robot arm and an external structure, classifies an area in which an end portion of the robot arm moves into a restricted area and an unrestricted area, and sets a restriction period. If a period after detection of the jam is in the restriction period and the end portion is in the restricted area, restriction on movement is imposed on one or more joints of the robot arm. The restriction on movement is a stoppage of movement of one or more joints. If the period after detection of the jam is after the restriction period, the restriction on movement is removed. If the period after detection of the jam is in the restriction period and the end portion is in the unrestricted area, the restriction on movement is not imposed on the joints.","1. A robot comprising: a position information obtaining unit that obtains position information about an end portion of a robot arm having a plurality of joints;a first force detector that detects a force that an operator applies to the robot arm;a jam determination unit that determines whether or not the operator or an object is jammed between the robot arm and an external structure on the basis of the force detected by the first force detector;an area classification unit that classifies an area in which the end portion moves into a restricted area and an unrestricted area;a restriction period setting unit that sets a restriction period during which movement of the robot arm is restricted;a microprocessor that: imposes movement restriction on, and automatically stops movement of, one or more of the plurality of joints if an elapsed period after detection of the jam is in the restriction period and the end portion is located in the restricted area, and does not restrict movement of at least one of the plurality of joints excluding the one or more of the plurality of joints,removes the movement restriction if the elapsed period ends after the restriction period, anddoes not impose movement restriction on the plurality of joints if the elapsed period after detection of the jam is in the restriction period and the end portion is located in the unrestricted area.",14/590223,9452532,2015-0209961,2015-01-06,2016-09-27,"Panasonic Intellectual Property Management Co., Ltd.","PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",JP,B25J-0009/1676,B25J-0009/1676,B25J-0009/1676 | G05B-2219/40202 | Y10S-0901/02 | Y10S-0901/46 | Y10S-0901/49 | G05B-2219/39082 | G05B-2219/39209,16818975,3,9,28,15,4916039001445
14/590387,9588513,Remote monitoring system for distant location robot,"A robot remote monitoring system (6) which monitors at least one robot (10) at a distant location including at least one robot control device (11), a data server (20), and a mobile terminal (30), wherein a robot control device includes a memory part (14) which stores monitoring information which includes an operating state of the robot and alarm information and attribute information which is linked with the monitoring information and a transmitting part (15) which transmits the monitoring information and the attribute information to the data server together, the data server includes a transmitting part (21) which transmits the monitoring information and the attribute information to the mobile terminal together, and the mobile terminal includes a memory part (33) which stores the monitoring information and the attribute information and a display part (34) which uses the attribute information as the basis to display the monitoring information all together.","1. A robot remote monitoring system which monitors at least one robot at a distant location, comprising at least one robot control device which controls said at least one robot,a data server, anda plurality of mobile terminals, whereineach of said at least one robot control devices comprises: a control device memory part which stores monitoring information, which includes an operating state of said robot and alarm information, and attribute information which is linked with said monitoring information anda control device transmitting part which transmits said monitoring information and said attribute information to said data server together,said data server comprises a data server transmitting part which transmits said monitoring information and said attribute information to said plurality of mobile terminals together, andsaid plurality of mobile terminals each comprise: a mobile terminal memory part which stores said monitoring information and said attribute information anda display part which uses said attribute information as the basis to display said monitoring information all together;a designating part which designates a respective time band for monitoring said robot control devices; andan acquiring part acquires said monitoring information and said attribute information in the time band which is designated by said designating part.",14/590387,9588513,2015-0198945,2015-01-06,2017-03-07,FANUC CORPORATION,FANUC CORPORATION,JP,G05B-0019/41855,Y02P-0090/02,Y02P-0090/02 | G05B-0019/41855 | B25J-0009/16 | B25J-0009/1674 | H04L-0067/025 | H04L-0067/10 | G05B-2219/31334 | G05B-2219/31457 | G05B-2219/31467 | G05B-2219/34038 | G05B-2219/36159 | G05B-2219/40174 | Y10S-0901/46,16798324,4,23,4,5,4917010003856
15/111460,10456206,Instrument articulation,"A robotic instrument comprising an arm extending between a robot arm connection and an attachment for an end effector, the arm comprising: a first arm part; a second arm part distal of the first arm part; and a joint whereby the first and second arm parts are coupled together, the joint permitting the first and second arm parts to rotate relative to each other about at least two mutually offset axes; a control rod attached to the second part of the arm at a location spaced from the first and second axes, the control rod extending distally of that location along the first arm part; and a drive mechanism for driving the control rod to move relative to the first arm part and thereby alter the attitude of the second arm part relative to the first arm part.","1. A robotic instrument comprising an arm extending between a robot arm connection and an attachment for an end effector, the arm comprising: a first arm part;a second arm part distal of the first arm part; andan articulation whereby the first and second arm parts are coupled together, the articulation comprising:an intermediate coupling having a housing and an articulation mechanism borne by the housing, the housing being attached to the first arm part by a joint permitting the housing and the first arm part to rotate relative to each other about at least two mutually offset axes, and the articulation mechanism comprising:a first coupler having rotational freedom relative to the housing, a second coupler having rotational freedom relative to the housing and a connector extending between the first and second couplers so that rotation of the first coupler relative to the housing can cause rotation of the second coupler relative to the housing; anda control rod connected to the first coupler and extending proximally of the first coupler along the first arm part;the second arm part being connected to the second coupler.",15/111460,10456206,2016-0346939,2015-01-08,2019-10-29,CMR SURGICAL LIMITED,CMR SURGICAL LIMITED,GB,A61B-0034/30,A61B-0034/30,A61B-0034/30 | A61B-2034/305 | B25J-0017/0275 | B25J-0017/0283,28201417,9,14,4,10,4919044001291
14/592282,9797916,Chemical analyzer,"A medical apparatus for analyzing fluid samples includes an outer casing, a slide loading mechanism disposed within the outer casing for loading fluid analysis slides, a slide ejecting mechanism disposed within the outer casing for ejecting fluid analysis slides, an evaporation cap opening mechanism disposed within the outer casing for opening an evaporation cap, an evaporation cap closing mechanism disposed within the outer casing for closing an evaporation cap, a drawer locking mechanism disposed within the outer casing for locking a drawer associated with the outer casing, a camera disposed within the outer casing, and a robot disposed within the outer casing. The robot is movable in three dimensions and has means for conducting three or more of the following operations: slide loading; slide ejecting; evaporation cap opening; evaporation cap closing; drawer locking; and camera manipulation.","1. A medical apparatus for analyzing fluid samples comprising: a. an outer casing, the outer casing defining an interior cavity;b. a slide loading mechanism disposed within the interior cavity of the outer casing for loading fluid analysis slides;c. a slide ejecting mechanism disposed within the interior cavity of the outer casing for ejecting fluid analysis slides;d. an evaporation cap opening mechanism disposed within the interior cavity of the outer casing for opening an evaporation cap;e. an evaporation cap closing mechanism disposed within the interior cavity of the outer casing for closing an evaporation cap;f. a consumables manager drawer, the consumables manager drawer being received by an opening formed in the outer casing;g. at least one camera disposed within the interior cavity of the outer casing;h. a fluid handler unit disposed within the interior cavity of the outer casing, the fluid handler unit including a robot assembly having portions thereof which are movable within the interior cavity relative to the outer casing, the fluid handler unit further including a fluid pump assembly mounted on the robot assembly and at least one elongated robot arm coupled to the fluid pump assembly, the fluid pump assembly movable within the interior cavity of the outer casing, the movable portions of the robot assembly being movable in an X-Z plane and a Y-Z plane, and being arcuately movable in an angular direction theta within an X-Y plane, the at least one elongated robot arm moving at least arcuately with the fluid pump assembly and engaging at least two of: i. the slide loading mechanism to load fluid analysis slides;ii. the slide ejecting mechanism to eject fluid analysis slides;iii. the evaporation cap opening mechanism to open the evaporation caps; andiv. the evaporation cap closing mechanism to close the evaporation caps;i. an optics module, the optics module being in optical communication with at least one fluid analysis slide and conducting at least one of reflectance and fluorescence measurements on the at least one fluid analysis slide; andj. a controller, the controller including electronic circuitry, the electronic circuitry being in electrical communication with at least one of the optics module, the consumables manager drawer, the robot assembly and the fluid pump assembly.",14/592282,9797916,2015-0226759,2015-01-08,2017-10-24,"IDEXX LABORATORIES, INC.","IDEXX LABORATORIES, INC.",US,G01N-0035/0099,G01N-0035/0099,G01N-0035/0099 | B25J-0009/1697 | B25J-0019/021 | G01N-0001/312 | G01N-0035/00029 | G01N-0035/00732 | G01N-0035/025 | G01N-0035/04 | G01N-0035/109 | G01N-2035/00039 | G01N-2035/00079 | G01N-2035/00138 | G01N-2035/00356 | G01N-2035/0405 | G01N-2035/0449 | G01N-2035/103 | Y10S-0901/09 | Y10S-0901/41,27961436,4,245,50,26,4917043003458
14/594729,10073950,Telepresence robot with a camera boom,"A remote controlled robot with a head that supports a monitor and is coupled to a mobile platform. The mobile robot also includes an auxiliary camera coupled to the mobile platform by a boom. The mobile robot is controlled by a remote control station. By way of example, the robot can be remotely moved about an operating room. The auxiliary camera extends from the boom so that it provides a relatively close view of a patient or other item in the room. An assistant in the operating room may move the boom and the camera. The boom may be connected to a robot head that can be remotely moved by the remote control station.","1. A remote controlled robot system, comprising: a remote control station that includes a station camera, a station monitor, a station microphone, and a station speaker; and,a mobile robot located in a facility and capable of participating in a communication session with the remote control station, the mobile robot includes: a mobile platform capable of maneuvering about a floor of the facility in response to movement commands received from the remote control station via a broadband network;a robot monitor;a first robot camera that faces substantially in the direction of the robot monitor;a second robot camera that faces substantially in the direction of the floor;a robot microphone; and,a robot speaker,wherein, during said communication session, the station monitor displays a display user interface that includes an image captured by the first robot camera in an upper portion of the display user interface and an image captured by the second robot camera in a lower portion of the display user interface, wherein a display area of the image from the first robot camera is larger than a display area of the image from the second robot camera, the robot monitor displays an image captured by the station camera, the station speaker reproduces a sound captured by the robot microphone, the robot speaker reproduces a sound captured by the station microphone, and the remote control station generates the movement commands in response to operation of an input device of the remote control station.",14/594729,10073950,2015-0127156,2015-01-12,2018-09-11,"INTOUCH TECHNOLOGIES, INC.","TELADOC HEALTH, INC.",US,G06F-0019/3418,G16Z-0099/00,G16Z-0099/00 | G16H-0040/67 | A61B-0005/0013 | A61B-0005/7445 | A61B-0005/7465 | B25J-0005/00 | H04N-0007/15,97391795,9,86,4,14,4918037004081
14/594723,9211642,"Robot apparatus, assembling method, and recording medium","A robot apparatus includes a gripping unit configured to grip a first component, a force sensor configured to detect, as detection values, a force and a moment acting on the gripping unit, a storing unit having stored therein contact states of the first component and a second component and transition information in association with each other, a selecting unit configured to discriminate, on the basis of the detection values, a contact state of the first component and the second component and select, on the basis of a result of the discrimination, the transition state stored in the storing unit, and a control unit configured to control the gripping unit on the basis of the transition information selected by the selecting unit.","1. A robot for assembling a first component with a second component, the robot comprising: a manipulator unit capable of turning and bending;a gripping unit coupled to the manipulator unit; anda force sensor configured to detect, as detection values, a force and a moment acting on the gripping unit, wherein:the gripping unit is controlled by a control unit based on the detection values and a transition information, and the transition information includes information for transitioning the gripping unit from a present contact state to a next target state.",14/594723,9211642,2015-0127152,2015-01-12,2015-12-15,Seiko Epson Corporation,Seiko Epson Corporation,JP,B25J-0009/1633,B25J-0009/1633,B25J-0009/1633 | Y10S-0901/46 | B25J-0009/1612 | B25J-0009/1687 | B25J-0013/085 | G05B-2219/40032 | Y10S-0901/09 | Y10S-0901/31,16416026,4,10,14,14,4915052001371
