record_id,patent_id,title,abstract,rep_claim,app_no,grant_no,pub_no,app_date,grant_date,assignee,current_owner,assignee_country,cpc_main_orig,cpc_main,cpc_all,family_id,family_size,n_backward_cites,n_forward_cites,n_claims,wips_key,label_v1
15/766493,10836035,"Operation control device for movable apparatus, operation control system, and method of controlling operations by movable apparatus","A drive control device activates at least one of a plurality of operation regions and restricts operations by a robot such that the robot operates within the activated operation region. With a plurality of operation regions such as an operation region 1 and an operation region 2 being activated, when the drive control device predicts that the robot will be included in a range of any of the operation region 1 and the operation region 2, the drive control device does not cut off supply of electric power to a servo amplifier, whereas when the drive control device predicts that the robot will be included in a range of neither of the operation region 1 and the operation region 2, the drive control device cuts off supply of electric power to the servo amplifier.","1. An operation control device for a movable apparatus to be driven by a drive apparatus controlled by a drive control device, the operation control device comprising: an activation unit configured to activate at least one of a plurality of operation regions in which the movable apparatus can operate;an operation control unit configured to restrict operations by the movable apparatus such that the movable apparatus operates within an activated region which is an operation region activated by the activation unitthe operation control unit being configured, when a first operation region and a second operation region included in the plurality of operation regions have been activated by the activation unit, i) not to cut off supply of electric power to the drive apparatus when the operation control unit predicts that the movable apparatus will be included in a range of any of the first operation region and the second operation region, andii) to cut off supply of electric power to the drive apparatus when the operation control unit predicts that the movable apparatus will be included in a range of neither of the first operation region and the second operation region; andan entry detection unit configured to detect entry into the activated region from outside,wherein when the entry detection unit detects the entry, the operation control unit is configured to cut off supply of electric power to the drive apparatus, andwherein the entry detection unit is provided in a boundary portion between the first operation region and the second operation region, and the entry detection unit is configured not to detect the entry when the first operation region and the second operation region are set as the activated regions.",15/766493,10836035,2018-0297201,2015-10-07,2020-11-17,OKURA YUSOKI KABUSHIKI KAISHA,OKURA YUSOKI KABUSHIKI KAISHA,JP,B25J-0009/1628,B25J-0009/1628,B25J-0009/1628 | B25J-0009/126 | B25J-0009/1676 | B25J-0009/1694 | B25J-0013/06 | B25J-0019/06 | G05B-0019/4061 | G05B-2219/40202,1050415,7,22,7,11,4920047001916,GRAY
16/473859,11541538,Robot cleaner and control method thereof,"A robot cleaner according to the present invention includes a body provided with a driving unit for movement, a position recognition unit provided in the body to recognize a position of the body, a storage unit configured to store, on a map, a region cleaned while the body is moving by the driving unit, and a control unit configured to control the driving unit, wherein the control unit determines whether a charging stand exists in a cleaning completed region on the map stored in the storage unit when a return condition that the body returns to the charging stand is satisfied, searches for an uncleaned region when the charging stand is not located in the cleaning completed region, and controls the driving unit such that the body moves from a current position to a point in a found uncleaned region or a point around the found uncleaned region.","1. A robot cleaner comprising: a body that includes a driving device to move the body;a position recognition unit provided in the body and configured to determine a position of the body;a storage configured to store information regarding a map, the information regarding the map including a cleaning completed region; anda controller configured to control the driving device,wherein the controller is configured to: determine whether a charging stand is located within the cleaning completed region based on the stored map when the robot cleaner satisfies a return condition to return to the charging stand,search for an uncleaned region on the stored map when the charging stand is determined, based on the stored map, to not be located within the cleaning completed region,control the driving device such that the body moves from a current position to a specific point with regard to the uncleaned region, andin response to the body moves from the current position to the specific point, control the driving device such that the body performs wall-following to search for the charging stand.",16/473859,11541538,2019-0321979,2017-12-08,2023-01-03,LG ELECTRONICS INC.,LG ELECTRONICS INC.,KR,B25J-0009/1664,B25J-0009/1664,B25J-0009/1664 | G05D-0001/0274 | A47L-0009/2852 | A47L-0009/2873 | B25J-0009/0003 | B25J-0009/1676 | B25J-0011/0085 | G05D-0001/0225 | A47L-2201/02 | A47L-2201/04,1095533,5,13,6,18,4923001001829,E_auto
16/454232,11376730,Modular robotic system,"Disclosed is an actuator mechanism for a modular robotic system. The actuator mechanism includes a motor, a carrier configured to be secured to the motor, and an actuating member operable by the motor to cause the actuating member to move relative to the carrier. The motor has a drive shaft which defines an output axis, and a body extending away from the shaft, the body defining a maximum width dimension orthogonal to the output axis. The carrier defines a longitudinal axis parallel to the output axis. The output axis is arranged, by the carrier, to be offset from the longitudinal axis by at least half of the maximum width dimension. Also disclosed is a module for a modular robotic system, and a modular robotic system.","1. An A module for a modular robotic system, the module comprising: a pair of actuator mechanisms, each mechanism comprising: a motor having a drive shaft, the shaft defining an output axis, and a body extending away from the shaft, the body defining a maximum width dimension orthogonal to the output axis;a carrier configured to be secured to the motor, the carrier defining a longitudinal axis parallel to the output axis; andan actuating member operatively connected to the shaft such that operation of the motor causes the actuating member to move relative to the carrier,wherein the output axis is arranged offset from the longitudinal axis by at least half of the maximum width dimension; anda sleeve sealingly engaged with the carrier of each actuator mechanism such that the sleeve and the carriers define a sealed volume, the sleeve defining a further longitudinal axis arranged coaxially to the longitudinal axis of each carrier.",16/454232,11376730,2020-0061809,2019-06-27,2022-07-05,BLUEPRINT LAB PTY LTD,REACH ROBOTICS PTY LTD | THE BLUEPRINT LABORATORY PTY LTD.,AU,B25J-0009/08,B25J-0009/08,B25J-0009/08 | B25J-0009/102 | B25J-0009/126 | B25J-0019/0041,1103629,2,1,2,19,4922027001800,GRAY
17/271808,11919147,Gripping apparatus,"The present disclosure relates to a gripping apparatus mounted to a robot arm for controllably placing an object on a surface. A gripper assembly supports a pair of gripping clamps which are configured to grip and release the object. The gripper assembly is mounted to the robot arm via a connector body. A sensor is configured to either measure a relative movement between the gripper assembly and the connector body, or to measure a force between the gripper assembly and the connector body. A controller is configured to stop the robot arm when the sensor indicates the measured relative movement or measured force exceeds a predefined threshold.","1. A gripping apparatus for controllably placing an object, the gripping apparatus including: a gripper assembly mounted to a robot arm via a connector body, the gripper assembly including a housing that supports one or more gripper drive assemblies operatively coupled to a pair of opposing gripping clamps configured to grip and release an object in response to one or more gripper drive control signals, and in use the robot arm is configured to drive the gripper assembly along a placement axis towards a placement surface via the connector body;a sensor configured to either measure a relative movement between the gripper assembly and the connector body in a direction aligned with the placement axis or to measure a force between the gripper assembly and the connector body in a direction aligned with the placement axis, wherein the sensor generates a sensor output signal based on the measurement; and,a controller configured to send a stop signal to the robot arm to stop further drive of the gripper assembly along the placement axis when the sensor output signal indicates the measured relative movement or measured force exceeds a predefined threshold,wherein either the housing includes a cavity that extends in a direction aligned with the placement axis and encompasses a flange portion of the connector body or the connector body includes a cavity that extends in a direction aligned with the placement axis and encompasses a flange portion of the housing; and, the sensor is configured to measure the relative movement of the flange portion within the cavity in the direction aligned with the placement axis.",17/271808,11919147,2021-0323171,2019-08-29,2024-03-05,FASTBRICK IP PTY LTD,FASTBRICK IP PTY LTD,AU,B25J-0013/086,B25J-0013/086,B25J-0013/086 | B25J-0009/1687 | B25J-0013/085 | B25J-0013/088 | B25J-0015/026 | B25J-0019/023 | E04G-0021/22,1145484,7,24,6,20,4924010001975,GRAY
16/943884,11548152,Systems and methods for robotic control under contact,"A system comprises a database; at least one hardware processor coupled with the database; and one or more software modules that, when executed by the at least one hardware processor, receive at least one of sensory data from a robot and images from a camera, identify and build models of objects in an environment, wherein the model encompasses immutable properties of identified objects including mass and geometry, and wherein the geometry is assumed not to change, estimate the state including position, orientation, and velocity, of the identified objects, determine based on the state and model, potential configurations, or pre-grasp poses, for grasping the identified objects and return multiple grasping configurations per identified object, determine an object to be picked based on a quality metric, translate the pregrasp poses into behaviors that define motor forces and torques, communicate the motor forces and torques to the robot.","1. A system comprising: a database;at least one hardware processor coupled with the database; andone or more software modules that, when executed by the at least one hardware processor, receive at least one of sensory data from a robot and images from a camera,identify and build models of objects in an environment, wherein the model encompasses immutable properties of identified objects including mass and geometry, and wherein the geometry is assumed not to change,estimate the state including position, orientation, and velocity, of the identified objects,determine, based on the state and model, pre-grasp poses for grasping the identified objects and return multiple grasping configurations per identified object,determine an object to be picked based on a quality metric,translate the pre-grasp poses into behaviors that define motor forces and torques, communicate the motor forces and torques to the robot in order to allow the robot to perform a complex behavior generated from the behaviors, wherein the behaviors include pre-grasp, grasp, transport and release, wherein the pre-grasp behavior includes a reach behavior that defines, based on the pre-grasp poses, how the robot should move toward the object in order to grasp it, wherein the reach behavior queries the database for the pre-grasp poses and plans a motion free of contact with the environment (a contact-free path), except the target object, represented as a set of points in a configuration space associated with the robot, and wherein once a contact-free path is obtained, fits splines to the points to determine a trajectory.",16/943884,11548152,2021-0031375,2020-07-30,2023-01-10,"DEXTROUS ROBOTICS, INC.","DEXTROUS ROBOTICS, INC.",US,B25J-0009/023,B25J-0009/023,B25J-0009/023 | B25J-0009/1666 | B25J-0009/0012 | B25J-0009/0087 | B25J-0009/161 | B25J-0009/1612 | B25J-0009/163 | B25J-0009/1633 | B25J-0009/1653 | B25J-0009/1664 | B25J-0009/1669 | B25J-0009/1676 | B25J-0009/1682 | B25J-0009/1694 | B25J-0009/1697 | B25J-0013/082 | B25J-0013/084 | B25J-0013/085 | B25J-0013/087 | B25J-0013/088 | B25J-0015/0038 | B25J-0015/0233 | B25J-0015/08 | B65G-0067/02 | G05B-0019/4155 | B25J-0009/026 | B25J-0009/046 | B25J-0009/12 | G05B-2219/39343 | G05B-2219/39346 | G05B-2219/39347 | G05B-2219/39348 | G05B-2219/39528 | G05B-2219/39532 | G05B-2219/39536 | G05B-2219/40272 | G05B-2219/40293 | G05B-2219/40627 | G05B-2219/50391,1173640,15,34,11,16,4923002001835,GRAY
17/139868,11794345,Unified robotic vehicle systems and methods of control,"A robotic system comprising a master robotic system, and a first robotic system comprising a first mobile platform operable to move about a surface, and comprising a first manipulator. The robotic system can comprise a second robotic system comprising a second mobile platform operable to move about the surface, and comprising a second manipulator. A control module can be associated with the master robotic system and the first and second robotic systems, and can be operable in a paired control mode to facilitate paired control of the first and second robotic systems to move about the ground surface, and operable in an unpaired control mode to facilitate non-paired control of a selected one of the first or second robotic systems.","1. A robotic system, comprising: a master robotic system comprising a drive input device;a first robotic system comprising a first mobile platform operable to move within an environment;a second robotic system comprising a second mobile platform operable to move within the environment;one or more processors; andone or more memory devices operatively coupled to at least one of the one or more processors and having instructions stored thereon that, when executed by at least one of the one or more processors, cause the system to:operate in a paired control mode to facilitate paired control of the first and second robotic systems that together define a unified robotic system operable to move within the environment via control of the master robotic system;wherein the first mobile platform comprises a first mobility mechanism and the second mobile platform comprises a second mobility mechanism, wherein, when in a paired drive control mode of the paired control mode, the drive input device of the master robotic system is operable to jointly control both the first mobility mechanism and the second mobility mechanism.",17/139868,11794345,2022-0212345,2020-12-31,2023-10-24,SARCOS CORP.,SARCOS CORP.,US,B25J-0009/1682,B25J-0009/1682,B25J-0009/1682 | B25J-0003/00 | B25J-0005/005 | B25J-0009/0006 | B25J-0009/0084 | B25J-0009/0087 | B25J-0009/162 | B25J-0009/1689 | B25J-0013/02 | B25J-0013/04 | B25J-0013/082 | B25J-0013/088 | G05D-0001/0027 | G05D-0001/0293 | G05D-0001/0295 | B25J-0003/04 | G05B-2219/40048,1209888,6,359,16,49,4923043002106,GRAY
16/754342,11433552,"Method for the adaptive control of a wearable robot, such as an orthesis or a prosthesis, and wearable robot operating according such method","The present invention is in the sector of wearable robotic devices, and in particular it concerns a method for the adaptive control of a wearable robot. In particular, the invention discloses a method for the adaptive control of the discrete or open-ended movements of a wearable robot such as a prosthesis or an orthesis.","1. A method for estimating in real time the evolution of a motion variable in a discrete gesture performed by a user wearing a wearable robot, said robot comprising control means and sensor means adapted to measure a variable, wherein: a motor primitive library is recorded in said control means for a corresponding plurality of possible discrete gestures, each motor primitive comprising an array of predetermined values for the motion variable in the performance of the relative gesture, sampled as a function of a nondimensional phase of said gesture;and wherein, as one of said discrete gesture is performed by the user, said control means iteratively execute sequences of control steps, each sequence comprising the steps of: receiving by said sensor means a measured current value of said variable;retrieving an error by comparison of said current value and an estimated value of the variable obtained at the previous sequence;on the basis of said error and of a normalization of the current value of the motion variable, updating the motor primitive of the gesture being performed, and retrieving from said normalization and from said updated motor primitive a current phase of the gesture being performed;on the basis of said current phase, and of a predetermined dynamic model function of said phase, obtaining said estimated value of the motion variable at the subsequent sequence, to be used to retrieve said error;on the basis of said current phase, making use of said primitive or of said predetermined dynamic model, retrieving a predictive value of said motion variable in a determined subsequent time or phase period;wherein said motion variable is a motion variable of a mobile joint of said wearable of robot, said dynamic model being a model of the dynamic behavior of said mobile joint.",16/754342,11433552,2020-0331150,2018-10-10,2022-09-06,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,SCUOLA SUPERIORE DI STUDI UNIVERSITARI E DI PERFEZIONAMENTO SANT'ANNA,IT,B25J-0013/088,B25J-0013/088,B25J-0013/088 | B25J-0009/0006 | B25J-0009/163 | B25J-0013/02 | G06F-0003/011 | G06F-0003/017 | G05B-2219/40305,3112987,5,2,5,19,4922036001821,E_auto
16/973170,11673270,Predictive control method of a robot and related control system,"This disclosure relates to a method of controlling a collaborative robot, or ""cobot"". According to the disclosed method the ""cobot"" is controlled so as to make it ready to perform a task in collaboration with the human operator only when the latter is about to move into a work sector to carry out the task collaborating with the robot. The control method of the present disclosure can be implemented by means of a control system comprising detection devices, such as for example one or more cameras or a mat equipped with sensors, which detect the position of the hands or of the entire body of the operator in the space of work, a memory in which to store identification data of the sectors of work engaged by the human operator, of the times of permanence in them and of the successive sectors of work in which the human operator moves, as well as a control microprocessor unit which processes this data stored in the memory according to the method of this disclosure to predict in which work sector the operator will move his hands and when that will happen, and which controls a robot based on this prediction information. The method of this disclosure can be implemented by means of software executed by a microprocessor unit.","1. A control method of at least one collaborative robot with a human operator, said method being implemented by means of a control system comprising detection devices, configured to detect a position of the operator'ss body or of his hands while the operator moves in a work space, a memory, a microprocessor control unit configured to process data stored in the memory and to control movements of a collaborative robot, the method comprising the following steps: detecting a position of the operator'ss body or of his hands in distinct sectors of said work space;storing in an orderly way first identifying data of occupied sectors of the work space occupied successively by the human operator while executing a task, and second identification data of respective permanence times in said occupied sectors of the work space, said first data stored in an orderly way defining a succession of work sectors progressively occupied by the human operator;calculating, at each step of said sequence, a respective first probability distribution P(Ak+1=a|Ak−i=ki) of transition of the human operator in a generic first sector ""a"" of the work space, coming from a second sector ""ki"" of the work space previously occupied a number ""i"" of steps backward in said succession from a generic third sector ""k0"" currently occupied;estimating, at each step of said sequence, a respective second probability distribution P(Ak+1=a|Ak=k0, . . . , Ak−n=kn) of transition of said human operator in said first sector ""a"" coming from the third sector ""k0"" currently occupied, conditioned by a fact that at previous steps from 1 to n of said succession the human operator occupied the work sectors k1, . . . , kn, respectively, as a linear combination of the probability distributions P(Ak+1=a|Ak−i=ki) of transition estimated at each step of said sequence, weighed with respective real positive parameters λi determined so that estimating a probability distribution of occupation {circumflex over (X)}k+1 of said generic first sector ""a"" coming from said generic third sector ""k0"" currently occupied, as a function of said second probability distribution P(Ak+1=a|Ak=k0, . . . , Ak−n=kn) of transition;determining values λi of said parameters so as to minimize a standard deviation between said probability distribution of occupation {circumflex over (X)}k+1 and an effective probability distribution of occupation Xk+1 detected by said succession of work sectors progressively occupied by the human operator;estimating, on a basis of said stored permanence times, a future time of arrival of the human operator from the currently occupied third sector ""k0"" in said first sector ""a""; andcontrolling a robot upon said estimated probability distribution and said estimated time of arrival, so as to move the robot in said first sector ""a"" synchronously with the human operator'ss transition to said first sector ""a"".",16/973170,11673270,2021-0252706,2019-06-07,2023-06-13,POLITECNICO DI MILANO | SMART ROBOTS S.R.L.,POLITECNICO DI MILANO | SMART ROBOTS S.R.L.,IT,B25J-0009/1602,B25J-0009/1602,B25J-0009/1602 | B25J-0009/1666 | B25J-0009/1697 | G05B-2219/40413,3388111,7,5,3,7,4923024001886,GRAY
15/772368,10695913,Underactuated robotic hand,"Provided is a robotic hand which includes a palm, a plurality of phalanges adapted to reproduce a plurality of fingers, and an actuating mechanism. The actuating mechanism may include a first pulley located at each hinge and bound to the first element, second pulleys located at each of the hinges and bound to the second element, a single cable running in all of the pulleys and a motor adapted to act on the cable by controlling the rotation of the phalanges.","1. A robotic hand, comprising, a palm;a plurality of phalanges adapted to reproduce a plurality of fingers;hinges each of which hinging a first element identifying one of said phalanges to a second element identifying one among said palm and one of said phalanges distinct from said first element;at least one actuating mechanism, the at least one actuating mechanism comprising: first pulleys, each one located at each of said hinges and bound to said first element;second pulleys, each one located at each of said hinges and bound to said second element;a single cable running in all of said pulleys;at least two motors adapted to apply different tensions to said cablewherein at least one of said first pulleys and said second pulleys has a different friction so that said pulleys cause tension drops in said single cable, which are different from one another, and said single cable comprises subtended sectors between said pulleys, which have a non-homogeneous tension, giving different actuation forces to said elements and consequently different mutual rotation speeds between said elements.",15/772368,10695913,2018-0311827,2016-10-27,2020-06-30,UNIVERSITA' DI PISA | FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,UNIVERSITA' DI PISA | FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA,IT,B25J-0015/0009,B25J-0015/0009,B25J-0015/0009 | A61F-0002/583 | A61F-0002/586 | A61F-0002/70 | B25J-0015/0233 | B25J-0015/086 | A61F-2002/704,3461913,4,11,19,11,4920027001977,GRAY
16/229402,11192245,Independent end-effector control and operation,"Systems and methods are provided for controlling robots and their end effectors. One embodiment is a method for controlling a robot. The method includes: maneuvering a robot via a robot controller that is dedicated to operating the robot, thereby altering a position of an end effector mounted to the robot, communicating from the robot controller to an end effector controller that is disposed at the end effector and is dedicated to operating the end effector, determining a position of the end effector via the end effector controller, and operating the end effector via the end effector controller based on the position of the end effector.","1. A method for controlling a robot, the method comprising: maneuvering a robot via a robot controller that is dedicated to operating the robot, thereby altering a position of an end effector mounted to the robot;communicating from the robot controller to an end effector controller that is disposed at the end effector and is dedicated to operating the end effector, wherein the communicating indicates a position of the robot with a 3D coordinate and rotational data;determining a position of the end effector via the end effector controller based on the position of the robot; andoperating the end effector via the end effector controller based on the position of the end effector.",16/229402,11192245,2020-0198134,2018-12-21,2021-12-07,The Boeing Company,THE BOEING COMPANY,US,B25J-0009/1664,B25J-0009/1664,B25J-0009/1664 | B25J-0011/005 | B25J-0015/0019 | B25J-0015/04 | G05B-2219/39468,3770248,3,15,0,20,4921050001669,GRAY
