train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
11097451,60784650,SEED,1,1.0,1.0,System and method for reducing three-dimensional additive manufacturing producti
11540740,54554667,ANTISEED-manual,0,1.0,1.0,System and method for fabricating electromagnetic field enhancing objects for ma
11524364,63525812,ANTISEED-manual,0,1.0,1.0,Overlapping border and internal sections of object formed by different am meltin
10384374,60784650,SEED,1,1.0,1.0,System and method for reducing three-dimensional additive manufacturing producti
10589382,63525812,ANTISEED-manual,0,1.0,1.0,Overlapping border and internal sections of object formed by different AM meltin
11390035,65234116,SEED,1,1.0,1.0,Systems and methods for measuring radiated thermal energy during an additive man
9764517,47713987,SEED,1,1.0,1.0,Object production using an additive manufacturing process and quality assessment
11707884,60953414,SEED,1,1.0,1.0,Sliding window screen for reducing resin refilling time in stereolithography
9744730,53181986,SEED,1,1.0,1.0,Magnetic platen assembly for additive manufacturing system
10160194,56850527,SEED,1,1.0,1.0,Systems and methods for implementing high speed final surface curing for three d
9555583,57867286,SEED,1,1.0,1.0,Fabrication of neural interfaces using 3D projection micro-stereolithography
11802321,62488375,SEED,1,1.0,1.0,Additive manufacturing of metal alloys and metal alloy matrix composites
12116652,62488375,SEED,1,1.0,1.0,Additive manufacturing of metal alloys and metal alloy matrix composites
9837191,52003051,SEED,1,1.0,0.3333,Method of connecting an additive communication cable to an electrical harness
11031156,52003051,SEED,1,1.0,0.2,3-d printed electrical cable
11351725,68766461,SEED,1,1.0,1.0,Enhanced recoater edges
10661342,62977495,SEED,1,1.0,1.0,Additive manufacturing systems and methods for the same
11938560,65234116,SEED,1,1.0,1.0,Systems and methods for measuring radiated thermal energy during an additive man
12233476,68057630,SEED,1,1.0,1.0,Additive manufacturing systems and methods
11745416,68766461,SEED,1,1.0,1.0,Enhanced recoater edges
12330217,67470618,SEED,1,1.0,1.0,Method and system for optimizing process parameters in an additive manufacturing
12232922,62684648,SEED,1,1.0,1.0,Method of building up a physical object by additive manufacturing
12214547,66999620,SEED,1,1.0,1.0,Additive-manufacturing systems and methods
11731352,72606905,SEED,1,1.0,1.0,Apparatus and method for fabricating multi-polymer composite structures
10518478,58701464,SEED,1,1.0,1.0,Additive manufacturing systems and methods
