train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
9754192,54930899,ANTISEED-manual,0,1.0,1.0,Object detection utilizing geometric information fused with image data
11988518,73745906,SEED,1,1.0,1.0,Updating high definition maps based on lane closure and lane opening
12174034,73745906,SEED,1,1.0,1.0,Updating high definition maps based on lane closure and lane opening
9607226,53189592,ANTISEED-manual,0,1.0,1.0,Methods and systems for object detection using multiple sensors
12214724,67213901,SEED,1,1.0,1.0,Systems and methods for deploying warning devices from an autonomous vehicle
11366476,67213901,SEED,1,1.0,1.0,Systems and methods for deploying warning devices from an autonomous vehicle
11518395,54932261,SEED,1,1.0,1.0,Cross-validating sensors of an autonomous vehicle
9868446,54932261,SEED,1,1.0,1.0,Cross-validating sensors of an autonomous vehicle
9555740,54932261,SEED,1,1.0,1.0,Cross-validating sensors of an autonomous vehicle
9221396,54932261,SEED,1,1.0,1.0,Cross-validating sensors of an autonomous vehicle
10509413,60675543,SEED,1,1.0,1.0,Ground reference determination for autonomous vehicle operations
9676330,49768336,SEED,1,1.0,1.0,Roadside object detection apparatus
10299216,66541164,SEED,1,1.0,1.0,Self-driving vehicle actions in response to a low battery
10831188,64453589,SEED,1,1.0,1.0,Redundant pose generation system
11740626,64453589,SEED,1,1.0,1.0,Redundant pose generation system
10444754,57046607,SEED,1,1.0,1.0,Remote assistance for an autonomous vehicle in low confidence situations
9465388,57046607,SEED,1,1.0,1.0,Remote assistance for an autonomous vehicle in low confidence situations
10802478,65996161,SEED,1,1.0,1.0,Hitch assist system and method for autonomously maneuvering a vehicle in a user-
9633564,50339677,SEED,1,1.0,1.0,Determining changes in a driving environment based on vehicle behavior
11011061,50339677,SEED,1,1.0,1.0,Determining changes in a driving environment based on vehicle behavior
11077844,72660487,SEED,1,1.0,1.0,System and method for increasing passenger satisfaction in a vehicle having an a
10203698,65084719,SEED,1,1.0,1.0,System and method for providing a map to autonomous vehicles via a cloud-based s
10843622,65011805,SEED,1,1.0,1.0,Control system of autonomous vehicle and control method thereof
10981497,65011805,SEED,1,1.0,1.0,Control system of autonomous vehicle and control method thereof
8874360,49117515,SEED,1,1.0,1.0,Autonomous vehicle and method for coordinating the paths of multiple autonomous 
9202382,49117515,SEED,1,1.0,1.0,Autonomous vehicle and method for coordinating the paths of multiple autonomous 
10275663,64097909,SEED,1,1.0,1.0,Indoor navigation method and system
10821973,67140090,SEED,1,1.0,1.0,Navigation system with parking facility navigation mechanism and method of opera
10328934,59629887,SEED,1,1.0,1.0,Temporal data associations for operating autonomous vehicles
9008961,50826242,SEED,1,1.0,1.0,Determining and displaying auto drive lanes in an autonomous vehicle
10866113,50826242,SEED,1,1.0,1.0,Determining and displaying auto drive lanes in an autonomous vehicle
10816987,68426874,SEED,1,1.0,1.0,Responsive vehicle control
11755020,68426874,SEED,1,1.0,1.0,Responsive vehicle control
10055652,58688510,SEED,1,1.0,1.0,Pedestrian detection and motion prediction with rear-facing camera
9983301,57018051,SEED,1,1.0,1.0,Automated vehicle radar system to determine yaw-rate of a target vehicle
10036648,54434570,SEED,1,1.0,1.0,Suggesting a route based on desired amount of driver interaction
9507345,54265027,SEED,1,1.0,1.0,Vehicle control system and method
11436874,72661646,SEED,1,1.0,1.0,Autonomous vehicle and diagnosis method therefor
10528048,53174111,SEED,1,1.0,1.0,Robotic platform and method for performing multiple functions in agricultural sy
9582002,53174111,SEED,1,1.0,1.0,Robotic platform and method for performing multiple functions in agricultural sy
9265187,53174111,SEED,1,1.0,1.0,Robotic platform and method for performing multiple functions in agricultural sy
10890912,53174111,SEED,1,1.0,1.0,Robotic platform and method for performing multiple functions in agricultural sy
11221622,72513647,SEED,1,1.0,1.0,Self-driving vehicle systems and methods
10796562,72664220,ANTISEED-manual,0,1.0,1.0,Autonomous home security devices
10803544,67069569,ANTISEED-manual,0,1.0,1.0,Systems and methods for enhancing machine vision object recognition through accu
10339622,67069569,ANTISEED-manual,0,1.0,1.0,Systems and methods for enhancing machine vision object recognition through accu
12467761,50826242,SEED,1,1.0,1.0,Determining and displaying auto drive lanes in an autonomous vehicle
10295359,50826242,SEED,1,1.0,1.0,Determining and displaying auto drive lanes in an autonomous vehicle
9734416,56976127,ANTISEED-manual,0,1.0,1.0,"Object detection method, information processing device, and storage medium"
9097800,53718899,ANTISEED-manual,0,1.0,1.0,Solid object detection system using laser and radar sensor fusion
9534918,50826242,SEED,1,1.0,1.0,Determining and displaying auto drive lanes in an autonomous vehicle
9955436,58778366,SEED,1,1.0,1.0,Systems and methods for improving fixed access point coverage using vehicle rout
11400925,63445408,SEED,1,1.0,1.0,Planning for unknown objects by an autonomous vehicle
10471963,61434708,SEED,1,1.0,1.0,System and method for transitioning between an autonomous and manual driving mod
10768063,72290196,ANTISEED-manual,0,1.0,1.0,Systems and methods for using piezoelectric sensors to ensure securement of encl
8823799,40429439,SEED,1,1.0,1.0,Method and system for evaluating brightness values in sensor images of image-eva
10108867,63833130,SEED,1,1.0,1.0,Image-based pedestrian detection
10562531,60157374,SEED,1,1.0,1.0,Adaptive cruise control apparatus and method thereof
11938932,70848548,SEED,1,1.0,1.0,Systems and methods for self-driving vehicle collision prevention
11221621,72513647,SEED,1,1.0,1.0,Self-driving vehicle systems and methods
10809720,66433249,SEED,1,1.0,1.0,Bi-directional autonomous vehicle
12423765,63854035,SEED,1,1.0,1.0,Dynamic autonomous vehicle servicing and management
10438493,61243203,SEED,1,1.0,1.0,Hybrid trip planning for autonomous vehicles
10726280,59786660,SEED,1,1.0,1.0,Traffic signal analysis system
11462022,59786660,SEED,1,1.0,1.0,Traffic signal analysis system
9983591,58585146,SEED,1,1.0,1.0,Autonomous driving at intersections based on perception data
12007779,62046456,SEED,1,1.0,1.0,Adaptive vehicle motion control system
11853073,62046456,SEED,1,1.0,1.0,Adaptive vehicle motion control system
11934194,62046456,SEED,1,1.0,1.0,Adaptive vehicle motion control system
11036233,62046456,SEED,1,1.0,1.0,Adaptive vehicle motion control system
9964952,62046456,SEED,1,1.0,1.0,Adaptive vehicle motion control system
9589179,53400362,ANTISEED-manual,0,1.0,1.0,Object detection techniques
10451433,54434570,SEED,1,1.0,1.0,Suggesting a route based on desired amount of driver interaction
10095236,54609194,SEED,1,1.0,1.0,Assisted perception for autonomous vehicles
11815903,54609194,SEED,1,1.0,1.0,Assisted perception for autonomous vehicles
12174640,54609194,SEED,1,1.0,1.0,Assisted perception for autonomous vehicles
9864378,54609194,SEED,1,1.0,1.0,Assisted perception for autonomous vehicles
