train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
11661611,66328332,SEED,1,1.0,1.0,Genetic modification of cytokine inducible SH2-containing protein (CISH) gene
10137206,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
10350304,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
11732251,63919534,SEED,1,1.0,0.4545,Anti-CRISPR polynucleotides and polypeptides and methods of use
10888627,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
11904023,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
11241505,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
10894092,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
10369233,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
10576167,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
10363321,68060763,SEED,1,1.0,0.2222,Nucleic acid products and methods of administration thereof
11666665,56092326,SEED,1,1.0,1.0,RNA-guided systems for in vivo gene editing
10886006,59786177,ANTISEED-manual,0,1.0,1.0,Methods for variant detection
10155938,57128245,SEED,1,1.0,1.0,Coexpression of CAS9 and TREX2 for targeted mutagenesis
12084691,65016062,ANTISEED-manual,0,1.0,1.0,Modulating human Cas9-specific host immune response
11208640,65016062,ANTISEED-manual,0,1.0,1.0,Modulating human Cas9-specific host immune response
12116619,55273505,SEED,1,1.0,1.0,CRISPR mediated in vivo modeling and genetic screening of tumor growth and metas
10704060,52008753,SEED,1,1.0,1.0,RNA-guided gene editing and gene regulation
11286478,58668960,SEED,1,1.0,1.0,Cpf1 complexes with reduced indel activity
11180751,58668960,SEED,1,1.0,0.0,CRISPR enzymes and systems
11932867,63918677,SEED,1,1.0,1.0,Methods of treating rheumatoid arthritis using RNA-guided genome editing of HLA 
12234454,58668960,SEED,1,1.0,0.0,Crispr enzymes and systems
9879283,54356656,SEED,1,1.0,1.0,CRISPR oligonucleotides and gene editing
10286084,53879230,SEED,1,1.0,1.0,Compositions for the inactivation of virus replication and methods of making and
12215318,58668960,SEED,1,1.0,0.0,Crispr enzymes and systems
12036287,67301195,SEED,1,1.0,1.0,Nanoparticles comprising protein-polynucleotide complexes and for delivering pro
11235070,67301195,SEED,1,1.0,1.0,Nanoparticles comprising protein-polynucleotide complexes and for delivering pro
11279926,57442215,SEED,1,1.0,1.0,Methods and compositions for generating CRISPR/Cas guide RNAs
12344838,58668960,SEED,1,1.0,1.0,CPF1 complexes with reduced indel activity
12415001,56092326,SEED,1,1.0,1.0,RNA-guided systems for in vivo gene editing
11643668,57546388,SEED,1,1.0,1.0,CRISPR/Cas9 complex for genomic editing
12428631,60041921,SEED,1,1.0,1.0,CRISPR/Cas9-based repressors for silencing gene targets in vivo and methods of u
11306324,60263004,SEED,1,1.0,1.0,AAV delivery of nucleobase editors
12152242,68294247,SEED,1,1.0,0.6667,CRISPR therapy
12441814,68073163,SEED,1,1.0,1.0,Compositions and methods for enhancing donor oligonucleotide-based gene editing
11427819,57128245,SEED,1,1.0,1.0,Coexpression of CAS9 and TREX2 for targeted mutagenesis
10738290,55910297,SEED,1,1.0,1.0,RNA-guided gene editing system and uses thereof
10745714,52008753,SEED,1,1.0,1.0,RNA-guided gene editing and gene regulation
11685935,50943292,SEED,1,1.0,0.875,Compact scaffold of Cas9 in the type II CRISPR system
10687520,63580959,SEED,1,1.0,1.0,Generation and correction of a humanized mouse model with a deletion of dystroph
11674128,62487913,SEED,1,0.9896,1.0,Engineering of a minimal SaCas9 CRISPR/Cas system for gene editing and transcrip
11840711,58668960,SEED,1,0.9655,0.0,Type VI CRISPR orthologs and systems
