train_patent_id,eval_family_id,eval_expansion_level,eval_label,abs_jaccard,title_jaccard,train_title
10056634,56108529,ANTISEED-manual,0,1.0,1.0,Systems and methods for fuel desulfurization
11072525,60675924,SEED,1,1.0,1.0,System and method for supplying a lighter-than-air vehicle with hydrogen gas
RE49947,60675924,SEED,1,1.0,1.0,System and method for supplying a lighter-than-air vehicle with hydrogen gas
10297849,50288032,SEED,1,1.0,1.0,"Method and system for producing carbon dioxide, purified hydrogen and electricit"
10059225,59678739,SEED,1,1.0,1.0,Fuel cell vehicle and control method for fuel cell vehicle
11661338,65811431,SEED,1,1.0,1.0,Activated magnesium boride materials for hydrogen storage
11964251,72941941,ANTISEED-manual,0,1.0,1.0,Fuel-reforming device and fuel-reforming method
12447458,72941941,ANTISEED-manual,0,1.0,1.0,Fuel-reforming device and fuel-reforming method
9187835,49261035,ANTISEED-manual,0,1.0,0.6667,Electrochemical systems and methods using metal and ligand
9187834,49261035,ANTISEED-manual,0,1.0,1.0,Electrochemical hydroxide systems and methods using metal oxidation
11092290,71122623,SEED,1,1.0,1.0,Method for measuring fluid level in liquid hydrogen tank and liquid hydrogen sto
8950195,45350697,ANTISEED-manual,0,1.0,1.0,Continuous flow thermodynamic pump
9205420,47020447,ANTISEED-AF,0,1.0,1.0,"Nanostructures, systems, and methods for photocatalysis"
8961819,45934325,SEED,1,0.9833,1.0,High-capacity complex hydrogen storage materials and a process of releasing hydr
9541001,46025653,ANTISEED-manual,0,0.9615,1.0,"Drive unit, method for providing power, and use of a drive unit"
11060195,55590249,ANTISEED-manual,0,0.9512,1.0,Reactant flow channels for electrolyzer applications
9644277,55590249,ANTISEED-manual,0,0.9512,1.0,Reactant flow channels for electrolyzer applications
12227855,55590249,ANTISEED-manual,0,0.9512,1.0,Reactant flow channels for electrolyzer applications
10472246,54833127,ANTISEED-manual,0,0.6271,1.0,Method and apparatus for producing sodium borohydride
10158138,56108529,ANTISEED-manual,0,0.5556,1.0,Systems and methods for fuel desulfurization
9911989,37683865,SEED,1,0.525,0.7778,Fuel cell system with partial recycling of anode exhaust
10060577,55218377,SEED,1,0.4906,0.7778,Fuel gas storage tank with supporting filter tube(s)
10923751,56108529,ANTISEED-manual,0,0.4762,1.0,Systems and methods for fuel desulfurization
10850980,56117829,SEED,1,0.4268,0.75,System and process for generating hydrogen gas
9102528,42784499,SEED,1,0.4118,0.5714,Hydrogen generation systems and methods utilizing sodium silicide and sodium sil
9845239,42784499,SEED,1,0.4118,0.5714,Hydrogen generation systems and methods utilizing sodium silicide and sodium sil
10396388,40933827,SEED,1,0.2857,0.6667,System and method for storing and releasing energy
9640827,58994195,ANTISEED-manual,0,0.2647,0.75,Method for operating a fuel cell system
