record_id,patent_id,domain,title,abstract,text
10000772,10000772,genomeediting,Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription,"The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms.","Methods and compositions for RNA-directed target DNA modification and for RNA-directed modulation of transcription. The present disclosure provides a DNA-targeting RNA that comprises a targeting sequence and, together with a modifying polypeptide, provides for site-specific modification of a target DNA and/or a polypeptide associated with the target DNA. The present disclosure further provides site-specific modifying polypeptides. The present disclosure further provides methods of site-specific modification of a target DNA and/or a polypeptide associated with the target DNA The present disclosure provides methods of modulating transcription of a target nucleic acid in a target cell, generally involving contacting the target nucleic acid with an enzymatically inactive Cas9 polypeptide and a DNA-targeting RNA. Kits and compositions for carrying out the methods are also provided. The present disclosure provides genetically modified cells that produce Cas9; and Cas9 transgenic non-human multicellular organisms"
10011850,10011850,genomeediting,Using RNA-guided FokI Nucleases (RFNs) to increase specificity for RNA-Guided Genome Editing,"Many studies have shown that CRISPR-Cas nucleases can tolerate up to five mismatches and still cleave; it is hard to predict the effects of any given single or combination of mismatches on activity. Taken together, these nucleases can show significant off-target effects but it can be challenging to predict these sites. Described herein are methods for increasing the specificity of genome editing using the CRISPR/Cas system, e.g., using RNA-guided Foki Nucleases (RFNs), e.g., Fokl-Cas9 or Foki-dCas9-based fusion proteins.","Using RNA-guided FokI Nucleases (RFNs) to increase specificity for RNA-Guided Genome Editing. Many studies have shown that CRISPR-Cas nucleases can tolerate up to five mismatches and still cleave; it is hard to predict the effects of any given single or combination of mismatches on activity. Taken together, these nucleases can show significant off-target effects but it can be challenging to predict these sites. Described herein are methods for increasing the specificity of genome editing using the CRISPR/Cas system, e.g., using RNA-guided Foki Nucleases (RFNs), e.g., Fokl-Cas9 or Foki-dCas9-based fusion proteins"
10012590,10012590,genomeediting,Methods and systems for biological instrument calibration,"In one exemplary embodiment, a method for calibrating an instrument is provided. The instrument includes an optical system capable of imaging florescence emission from a plurality of reaction sites. The method includes performing a region-of-interest (ROI) calibration to determine reaction site positions in an image. The method further includes performing a pure dye calibration to determine the contribution of a fluorescent dye used in each reaction site by comparing a raw spectrum of the fluorescent dye to a pure spectrum calibration data of the fluorescent dye. The method further includes performing an instrument normalization calibration to determine a filter normalization factor. The method includes performing an RNase P validation to validate the instrument is capable of distinguishing between two different quantities of sample.","Methods and systems for biological instrument calibration. In one exemplary embodiment, a method for calibrating an instrument is provided. The instrument includes an optical system capable of imaging florescence emission from a plurality of reaction sites. The method includes performing a region-of-interest (ROI) calibration to determine reaction site positions in an image. The method further includes performing a pure dye calibration to determine the contribution of a fluorescent dye used in each reaction site by comparing a raw spectrum of the fluorescent dye to a pure spectrum calibration data of the fluorescent dye. The method further includes performing an instrument normalization calibration to determine a filter normalization factor. The method includes performing an RNase P validation to validate the instrument is capable of distinguishing between two different quantities of sample"
10016487,10016487,genomeediting,Process for purifying lactoferrin from milk and products thereof,"The invention provides a process for purifying lactoferrin from milk, the process comprising subjecting the milk to filtration to separate it into a retentate fraction comprising lactoferrin and a permeate fraction comprising growth factors and/or RNAses, wherein prior to and/or during filtration the milk is subjected to salt treatment such that growth factors and/or RNAses flow into the permeate. The invention also provides lactoferrin obtained from the process of the invention and uses thereof.","Process for purifying lactoferrin from milk and products thereof. The invention provides a process for purifying lactoferrin from milk, the process comprising subjecting the milk to filtration to separate it into a retentate fraction comprising lactoferrin and a permeate fraction comprising growth factors and/or RNAses, wherein prior to and/or during filtration the milk is subjected to salt treatment such that growth factors and/or RNAses flow into the permeate. The invention also provides lactoferrin obtained from the process of the invention and uses thereof"
10017825,10017825,genomeediting,Compositions and methods for characterizing a DNA repair variant polypeptide,"As described below, the present invention provides quantitative homologous recombination assays developed to characterize the pathogenicity DNA repair polypeptides (e.g., BRCA1, BRCA2, Rad51) and provide urgently needed functional information on the significance of DNA repair variants of uncertain significance (VUS) alleles. The invention also provides a method of generating site-specific recombination at a genomic locus or site-specific genome editing by inhibiting replication at the genomic locus, e.g., involving contacting the genomic locus with polypeptides that specifically bind target sequences at the genomic locus.","Compositions and methods for characterizing a DNA repair variant polypeptide. As described below, the present invention provides quantitative homologous recombination assays developed to characterize the pathogenicity DNA repair polypeptides (e.g., BRCA1, BRCA2, Rad51) and provide urgently needed functional information on the significance of DNA repair variants of uncertain significance (VUS) alleles. The invention also provides a method of generating site-specific recombination at a genomic locus or site-specific genome editing by inhibiting replication at the genomic locus, e.g., involving contacting the genomic locus with polypeptides that specifically bind target sequences at the genomic locus"
10023893,10023893,genomeediting,Compositions and methods for making selenocysteine containing polypeptides,"Non-naturally occurring tRNASec and methods of using them for recombinant expression of proteins engineered to include one or more selenocysteine residues are disclosed. The non-naturally occurring tRNASec can be used for recombinant manufacture of selenocysteine containing polypeptides encoded by mRNA without the requirement of an SECIS element. In some embodiments, selenocysteine containing polypeptides are manufactured by co-expressing a non-naturally occurring tRNASec a recombinant expression system, such as E. coli, with SerRS, EF-Tu, SelA, or PSTK and SepSecS, and an mRNA with at least one codon that recognizes the anticodon of the non-naturally occurring tRNASec.","Compositions and methods for making selenocysteine containing polypeptides. Non-naturally occurring tRNASec and methods of using them for recombinant expression of proteins engineered to include one or more selenocysteine residues are disclosed. The non-naturally occurring tRNASec can be used for recombinant manufacture of selenocysteine containing polypeptides encoded by mRNA without the requirement of an SECIS element. In some embodiments, selenocysteine containing polypeptides are manufactured by co-expressing a non-naturally occurring tRNASec a recombinant expression system, such as E. coli, with SerRS, EF-Tu, SelA, or PSTK and SepSecS, and an mRNA with at least one codon that recognizes the anticodon of the non-naturally occurring tRNASec"
10041092,10041092,genomeediting,Methods for genomic integration,"Provided herein are methods of integrating one or more exogenous nucleic acids into one or more selected target sites of a host cell genome. In certain embodiments, the methods comprise contacting the host cell genome with one or more integration polynucleotides comprising an exogenous nucleic acid to be integrated into a genomic target site, a nuclease capable of causing a break at the genomic target site, and a linear nucleic acid capable of homologous recombination with itself or with one or more additional linear nucleic acids contacted with the population of cells, whereupon said homologous recombination results in formation of a circular extrachromosomal nucleic acid comprising a coding sequence for a selectable marker. In some embodiments, the methods further comprise selecting a host cell that expresses the selectable marker.","Methods for genomic integration. Provided herein are methods of integrating one or more exogenous nucleic acids into one or more selected target sites of a host cell genome. In certain embodiments, the methods comprise contacting the host cell genome with one or more integration polynucleotides comprising an exogenous nucleic acid to be integrated into a genomic target site, a nuclease capable of causing a break at the genomic target site, and a linear nucleic acid capable of homologous recombination with itself or with one or more additional linear nucleic acids contacted with the population of cells, whereupon said homologous recombination results in formation of a circular extrachromosomal nucleic acid comprising a coding sequence for a selectable marker. In some embodiments, the methods further comprise selecting a host cell that expresses the selectable marker"
10047355,10047355,genomeediting,Delivery systems and kits for gene editing,"The present disclosure relates to compositions and methods for modifying a gene sequence, and for systems for delivering such compositions. For example, the disclosure relates to modifying a gene sequence using a CRISPR-Cas9 or other nucleic acid editing system, and methods and delivery systems for achieving such gene modification, such as viral or non-viral delivery systems.","Delivery systems and kits for gene editing. The present disclosure relates to compositions and methods for modifying a gene sequence, and for systems for delivering such compositions. For example, the disclosure relates to modifying a gene sequence using a CRISPR-Cas9 or other nucleic acid editing system, and methods and delivery systems for achieving such gene modification, such as viral or non-viral delivery systems"
10053703,10053703,genomeediting,"Heterologous production of patchoulol, β-santalene, and sclareol in moss cells","The present invention relates to methods for preparing patchoulol, β-santalene, and sclareol in transgenic moss cells that include heterologous nucleic acid molecules encoding a polypeptide or synthase capable of using FPP or GGPP as a substrate. Methods for producing the transgenic moss cell, as well as the transgenic moss cell itself are also disclosed.","Heterologous production of patchoulol, β-santalene, and sclareol in moss cells. The present invention relates to methods for preparing patchoulol, β-santalene, and sclareol in transgenic moss cells that include heterologous nucleic acid molecules encoding a polypeptide or synthase capable of using FPP or GGPP as a substrate. Methods for producing the transgenic moss cell, as well as the transgenic moss cell itself are also disclosed"
10066217,10066217,genomeediting,Thermophilic organisms for conversion of lignocellulosic biomass to ethanol,"Mutant thermophilic organisms that consume a variety of biomass derived substrates are disclosed herein. Strains of Thermoanaerobacterium saccharolyticum with acetate kinase and phosphotransacetylase expression eliminated are disclosed herein. Further, strain ALK1 has been engineered by site directed homologous recombination to knockout both acetic acid and lactic acid production. Continuous culture involving a substrate concentration challenge lead to evolution of ALK1, and formation of a more robust strain designated ALK2. The organisms may be utilized for example in thermophilic SSF and SSCF reactions performed at temperatures that are optimal for cellulase activity to produce near theoretical ethanol yields without expressing pyruvate decarboxylase.","Thermophilic organisms for conversion of lignocellulosic biomass to ethanol. Mutant thermophilic organisms that consume a variety of biomass derived substrates are disclosed herein. Strains of Thermoanaerobacterium saccharolyticum with acetate kinase and phosphotransacetylase expression eliminated are disclosed herein. Further, strain ALK1 has been engineered by site directed homologous recombination to knockout both acetic acid and lactic acid production. Continuous culture involving a substrate concentration challenge lead to evolution of ALK1, and formation of a more robust strain designated ALK2. The organisms may be utilized for example in thermophilic SSF and SSCF reactions performed at temperatures that are optimal for cellulase activity to produce near theoretical ethanol yields without expressing pyruvate decarboxylase"
