record_id,patent_id,domain,title,abstract,text
10000377,10000377,hydrogenstorage,Nanostructured metal amides and nitrides for hydrogen storage,"Nanostructured metal amides and nitrides are incorporated into nanoporous templates, such as carbon, using liquid ammonia as a solvent/reagent. This leads to unexpected improvements in metal amide nanoconfined hydrogen storage materials. The resulting nanostructured materials may reversibly absorb and desorb large capacities of hydrogen under conditions that are much milder compared to what has been achieved with bulk materials. In addition, the nanoconfined materials may reduce the amounts of ammonia released upon dehydriding, which may make the released hydrogen gas purer and may limit the capacity loss. In addition, nanoconfinement may simplify the reaction mechanism, eliminating undesired metal imide intermediates and promote hydrogen cycling under mild conditions. The liquid ammonia method also allows the simultaneous introduction of catalytic additives along with the parent hydrogen storage material.","Nanostructured metal amides and nitrides for hydrogen storage. Nanostructured metal amides and nitrides are incorporated into nanoporous templates, such as carbon, using liquid ammonia as a solvent/reagent. This leads to unexpected improvements in metal amide nanoconfined hydrogen storage materials. The resulting nanostructured materials may reversibly absorb and desorb large capacities of hydrogen under conditions that are much milder compared to what has been achieved with bulk materials. In addition, the nanoconfined materials may reduce the amounts of ammonia released upon dehydriding, which may make the released hydrogen gas purer and may limit the capacity loss. In addition, nanoconfinement may simplify the reaction mechanism, eliminating undesired metal imide intermediates and promote hydrogen cycling under mild conditions. The liquid ammonia method also allows the simultaneous introduction of catalytic additives along with the parent hydrogen storage material"
10005067,10005067,hydrogenstorage,"Use of catalysts, method and apparatus for selective oxidation of ammonia in a gas containing hydrogen",The invention contributes to a cost effective way to solve the problem of trace ammonia removal from a hydrogen and nitrogen containing gas. The set of catalysts of the invention selectively oxidized ammonia in ppm concentration even in gas mixtures containing hydrogen gas in concentrations of three orders of magnitude higher than the concentration of ammonia.,"Use of catalysts, method and apparatus for selective oxidation of ammonia in a gas containing hydrogen. The invention contributes to a cost effective way to solve the problem of trace ammonia removal from a hydrogen and nitrogen containing gas. The set of catalysts of the invention selectively oxidized ammonia in ppm concentration even in gas mixtures containing hydrogen gas in concentrations of three orders of magnitude higher than the concentration of ammonia"
10006362,10006362,hydrogenstorage,"Vapor cracking catalyst, preparation method thereof, and combustion method of hydrogen obtained by vapor cracking","The invention provides a vapor cracking catalyst, an application of the vapor cracking catalyst, and a preparation method of the vapor cracking catalyst. In addition, the invention also provides a direct combustion method of a hydrogen gas obtained by vapor cracking. A plenty of cheap raw materials are adopted to prepare the catalyst provided by the invention and it leads to lower cost for production. In addition, the catalyst provided by the invention is capable of controlling the vapor cracking speed steadily so that the hydrogen gas is produced steadily and occurrence of explosion accidents is avoided effectively. The direct combustion method of a hydrogen gas obtained by vapor cracking provided by the invention truly achieves for the first time the fancy of producing hydrogen energy by water.","Vapor cracking catalyst, preparation method thereof, and combustion method of hydrogen obtained by vapor cracking. The invention provides a vapor cracking catalyst, an application of the vapor cracking catalyst, and a preparation method of the vapor cracking catalyst. In addition, the invention also provides a direct combustion method of a hydrogen gas obtained by vapor cracking. A plenty of cheap raw materials are adopted to prepare the catalyst provided by the invention and it leads to lower cost for production. In addition, the catalyst provided by the invention is capable of controlling the vapor cracking speed steadily so that the hydrogen gas is produced steadily and occurrence of explosion accidents is avoided effectively. The direct combustion method of a hydrogen gas obtained by vapor cracking provided by the invention truly achieves for the first time the fancy of producing hydrogen energy by water"
10008730,10008730,hydrogenstorage,System and method for fueling alternative fuel vehicles,"Disclosed is an alternative fuel fueling station useful for fueling both electrical and hydrogen alternative fuel vehicles simultaneously. The alternative fuel fueling station includes a solid oxide fuel cell, an electrical conduit, and a compressed hydrogen conduit, such that the alternative fuel fueling station can fuel both the electrical and hydrogen alternative fuel vehicles simultaneously.","System and method for fueling alternative fuel vehicles. Disclosed is an alternative fuel fueling station useful for fueling both electrical and hydrogen alternative fuel vehicles simultaneously. The alternative fuel fueling station includes a solid oxide fuel cell, an electrical conduit, and a compressed hydrogen conduit, such that the alternative fuel fueling station can fuel both the electrical and hydrogen alternative fuel vehicles simultaneously"
10011912,10011912,hydrogenstorage,Hydrogen refining pressure-boosting device,"Provided is a hydrogen refining pressure-boosting device which is durable even in a high-pressure environment. This hydrogen refining pressure-boosting device produces, from a hydrogen-containing gas, a refined hydrogen gas having higher pressure and higher purity than the hydrogen-containing gas. The hydrogen refining pressure-boosting device is equipped with multiple stacked cell structures, and a pressing structure that applies tightening stress in the direction in which the cell structures are stacked. In this hydrogen refining pressure-boosting device the flow path surface of a cathode-side separator is sized so as to be contained on the inside of the flow path surface of an anode-side separator, in the direction of a plane parallel to a solid polymer electrolyte membrane.","Hydrogen refining pressure-boosting device. Provided is a hydrogen refining pressure-boosting device which is durable even in a high-pressure environment. This hydrogen refining pressure-boosting device produces, from a hydrogen-containing gas, a refined hydrogen gas having higher pressure and higher purity than the hydrogen-containing gas. The hydrogen refining pressure-boosting device is equipped with multiple stacked cell structures, and a pressing structure that applies tightening stress in the direction in which the cell structures are stacked. In this hydrogen refining pressure-boosting device the flow path surface of a cathode-side separator is sized so as to be contained on the inside of the flow path surface of an anode-side separator, in the direction of a plane parallel to a solid polymer electrolyte membrane"
10014540,10014540,hydrogenstorage,Hydrogen generator having reactant pellet with concentration gradient,"A hydrogen generator is provided for generating hydrogen gas for a fuel cell stack. The hydrogen generator includes a container, and a liquid reactant storage area configured to contain a liquid including a first reactant. The hydrogen generator also includes a reaction area within the container, and a solid containing a second reactant within the reaction area and having a concentration gradient that varies along an axis such as length of the solid. The hydrogen generator further includes a liquid delivery member for delivering the liquid to the solid in the reaction area to generate hydrogen. The concentration gradient controls a reaction rate of the first and second reactants.","Hydrogen generator having reactant pellet with concentration gradient. A hydrogen generator is provided for generating hydrogen gas for a fuel cell stack. The hydrogen generator includes a container, and a liquid reactant storage area configured to contain a liquid including a first reactant. The hydrogen generator also includes a reaction area within the container, and a solid containing a second reactant within the reaction area and having a concentration gradient that varies along an axis such as length of the solid. The hydrogen generator further includes a liquid delivery member for delivering the liquid to the solid in the reaction area to generate hydrogen. The concentration gradient controls a reaction rate of the first and second reactants"
10014541,10014541,hydrogenstorage,System and method for generating power and enhanced oil recovery,"A method for producing a purified carbon dioxide product suitable for EOR and surplus electricity uses a vaporous hydrocarbon feed and a SOFC system. A SOFC system includes a condensate removal system, an acid gas removal system, a hydrodesulfurization system, a sorption bed system, a pre-reformer, a solid oxide fuel cell, a CO2 separations system and a CO2 dehydration system operable to form the purified carbon dioxide product, where the SOFC system is operable to produce surplus electricity from the electricity produced by the solid oxide fuel cell. A method of operating the pre-reformer to maximize the internal reforming capacity of a downstream solid oxide fuel cell uses a pre-reformer fluidly coupled on the upstream side of a solid oxide fuel cell. A method of enhancing hydrocarbon fluid recovery from a hydrocarbon-bearing formation using a SOFC system.","System and method for generating power and enhanced oil recovery. A method for producing a purified carbon dioxide product suitable for EOR and surplus electricity uses a vaporous hydrocarbon feed and a SOFC system. A SOFC system includes a condensate removal system, an acid gas removal system, a hydrodesulfurization system, a sorption bed system, a pre-reformer, a solid oxide fuel cell, a CO2 separations system and a CO2 dehydration system operable to form the purified carbon dioxide product, where the SOFC system is operable to produce surplus electricity from the electricity produced by the solid oxide fuel cell. A method of operating the pre-reformer to maximize the internal reforming capacity of a downstream solid oxide fuel cell uses a pre-reformer fluidly coupled on the upstream side of a solid oxide fuel cell. A method of enhancing hydrocarbon fluid recovery from a hydrocarbon-bearing formation using a SOFC system"
10017324,10017324,hydrogenstorage,Hydrogen storage method and system,A method and system for storing and supplying hydrogen to a hydrogen pipeline in which a compressed hydrogen feed stream is introduced into a salt cavern for storage and a stored hydrogen stream is retrieved from the salt cavern and reintroduced into the hydrogen pipeline. A minimum quantity of stored hydrogen is maintained in the salt cavern to produce a stagnant layer having a carbon dioxide content along the cavern wall and the top of a residual brine layer located within the salt cavern. The compressed hydrogen feed stream is introduced into the salt cavern and the stored hydrogen stream is withdrawn without disturbing the stagnant layer to prevent carbon dioxide contamination from being drawn into the stored hydrogen stream being reintroduced into the hydrogen pipeline. This allows the stored hydrogen stream to be reintroduced into the hydrogen pipeline without carbon dioxide removal.,Hydrogen storage method and system. A method and system for storing and supplying hydrogen to a hydrogen pipeline in which a compressed hydrogen feed stream is introduced into a salt cavern for storage and a stored hydrogen stream is retrieved from the salt cavern and reintroduced into the hydrogen pipeline. A minimum quantity of stored hydrogen is maintained in the salt cavern to produce a stagnant layer having a carbon dioxide content along the cavern wall and the top of a residual brine layer located within the salt cavern. The compressed hydrogen feed stream is introduced into the salt cavern and the stored hydrogen stream is withdrawn without disturbing the stagnant layer to prevent carbon dioxide contamination from being drawn into the stored hydrogen stream being reintroduced into the hydrogen pipeline. This allows the stored hydrogen stream to be reintroduced into the hydrogen pipeline without carbon dioxide removal
10017434,10017434,hydrogenstorage,Membrane-based gas separation processes to separate dehydrogenation reaction products,"Gas separation processes are provided for separating dehydrogenation reaction products from a raw gas stream to recover hydrocarbons, specifically olefins, such as propylene and iso-butene, as well as unreacted feedstock. The processes employ a sequence of partial condensation steps, interspersed with membrane separation steps to raise the hydrocarbon dewpoint of the uncondensed gas, thereby avoiding the use of low-temperature or cryogenic conditions.","Membrane-based gas separation processes to separate dehydrogenation reaction products. Gas separation processes are provided for separating dehydrogenation reaction products from a raw gas stream to recover hydrocarbons, specifically olefins, such as propylene and iso-butene, as well as unreacted feedstock. The processes employ a sequence of partial condensation steps, interspersed with membrane separation steps to raise the hydrocarbon dewpoint of the uncondensed gas, thereby avoiding the use of low-temperature or cryogenic conditions"
10017865,10017865,hydrogenstorage,Electrochemical method for producing pure-oxygen gas and oxygen-lean gas from oxygen-containing gas mixtures,"The present invention relates to an electrochemical method for continuously producing a pure-oxygen gas and an oxygen-lean gas from an oxygen-containing gas mixture. At least two water electrolyzer units and two power supply units are used, of which each former solely corresponds to each latter, respectively. The two power supply units are at least one power supply unit of recycling hydrogen energy and an externally-connected power supply unit. The power supply unit of recycling hydrogen energy consists of hydrogen fuel cells, and the externally-connected power supply unit is comprised of at least one of the following cells and/or power supply, e.g. (a) solar cell(s), (a) direct methanol fuel cell(s), and/or an AC grid. In terms of the electrical circuit, each power supply unit is solely connected with the corresponding water electrolyzer unit. Hydrogen produced by all the water electrolyzer units is delivered to feed the hydrogen fuel cells as a fuel, and oxygen produced by the water electrolyzer units is the pure oxygen of target product. A negative electrode and a positive electrode of the hydrogen fuel cells of the power supply unit of recycling hydrogen energy are fed by the hydrogen gas and an oxygen-containing gas mixture, respectively. The inlet hydrogen gas is connected with a cathode of hydrogen chamber of the water electrolyzer unit through a pipe. A gas-liquid separation is performed at the outlet of positive electrode, of which the outlet gas is produced as an oxygen-lean gas. By means of the present invention, a high-purity oxygen gas can be stably and continuously produced from air at low cost for any indoor and outdoor sites or a remote area.","Electrochemical method for producing pure-oxygen gas and oxygen-lean gas from oxygen-containing gas mixtures. The present invention relates to an electrochemical method for continuously producing a pure-oxygen gas and an oxygen-lean gas from an oxygen-containing gas mixture. At least two water electrolyzer units and two power supply units are used, of which each former solely corresponds to each latter, respectively. The two power supply units are at least one power supply unit of recycling hydrogen energy and an externally-connected power supply unit. The power supply unit of recycling hydrogen energy consists of hydrogen fuel cells, and the externally-connected power supply unit is comprised of at least one of the following cells and/or power supply, e.g. (a) solar cell(s), (a) direct methanol fuel cell(s), and/or an AC grid. In terms of the electrical circuit, each power supply unit is solely connected with the corresponding water electrolyzer unit. Hydrogen produced by all the water electrolyzer units is delivered to feed the hydrogen fuel cells as a fuel, and oxygen produced by the water electrolyzer units is the pure oxygen of target product. A negative electrode and a positive electrode of the hydrogen fuel cells of the power supply unit of recycling hydrogen energy are fed by the hydrogen gas and an oxygen-containing gas mixture, respectively. The inlet hydrogen gas is connected with a cathode of hydrogen chamber of the water electrolyzer unit through a pipe. A gas-liquid separation is performed at the outlet of positive electrode, of which the outlet gas is produced as an oxygen-lean gas. By means of the present invention, a high-purity oxygen gas can be stably and continuously produced from air at low cost for any indoor and outdoor sites or a remote area"
